ARK | Intel® Product Specification Comparison
08/24/2023 10:02:56 PM
 ,Intel® Xeon® Processor L3110 ,Intel® Xeon® Processor L5430 ,Intel® Xeon® Processor L5240 ,Intel® Xeon® Processor E3120 ,Intel® Xeon® Processor X5470 ,Intel® Xeon® Processor X3330 ,Intel® Xeon® Processor X3370 ,Intel® Xeon® Processor E5220 ,Intel® Xeon® Processor X5270 ,Intel® Xeon® Processor L5215 ,Intel® Xeon® Processor X5492 ,Intel® Xeon® Processor L7445 ,Intel® Xeon® Processor L7455 ,Intel® Xeon® Processor E7430 ,Intel® Xeon® Processor E7450 ,Intel® Xeon® Processor E7440 ,Intel® Xeon® Processor E7420 ,Intel® Xeon® Processor X7460 ,Intel® Xeon® Processor E5502 ,Intel® Xeon® Processor E5506 ,Intel® Xeon® Processor E5530 ,Intel® Xeon® Processor E5540 ,Intel® Xeon® Processor X5550 ,Intel® Xeon® Processor X5560 ,Intel® Xeon® Processor X5570 ,Intel® Xeon® Processor W5580 ,Intel® Xeon® Processor W3520 ,Intel® Xeon® Processor W3540 ,Intel® Xeon® Processor W3550 ,Intel® Xeon® Processor W3565 ,Intel® Xeon® Processor W3570 ,Intel® Xeon® Processor W3580 ,Intel® Xeon® Processor E5520 ,Intel® Xeon® Processor L5520 ,Intel® Xeon® Processor L3360 ,Intel® Xeon® Processor E5504 ,Intel® Xeon® Processor L5506 ,Intel® Xeon® Processor X3380 ,Intel® Xeon® Processor W5590 ,Intel® Xeon® Processor L5530 ,Intel® Xeon® Processor X3430 ,Intel® Xeon® Processor X3440 ,Intel® Xeon® Processor X3450 ,Intel® Xeon® Processor X3460 ,Intel® Xeon® Processor X3470 ,Intel® Xeon® Processor L3426 
Processor Base Frequency,3.00 GHz,2.66 GHz,3.00 GHz,3.16 GHz,3.33 GHz,2.66 GHz,3.00 GHz,2.33 GHz,3.50 GHz,1.86 GHz,3.40 GHz,2.13 GHz,2.13 GHz,2.13 GHz,2.40 GHz,2.40 GHz,2.13 GHz,2.66 GHz,,,,,,,,,,,,,,,,,2.83 GHz,,,3.16 GHz,,,,,,,,
Cache,6 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L3 Cache,16 MB L2 Cache,8 MB L2 Cache,16 MB L2 Cache,,,,,,,,,,,,,,,,,12 MB L2 Cache,,,12 MB L2 Cache,,,,,,,,
Bus Speed,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1066 MHz,1600 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,,,,,,,,,,,,,,,,,1333 MHz,,,1333 MHz,,,,,,,,
TDP,45 W,50 W,40 W,65 W,120 W,95 W,95 W,65 W,80 W,20 W,150 W,50 W,65 W,90 W,90 W,90 W,90 W,130 W,,,,,,,,,,,,,,,,,65 W,,,95 W,,,,,,,,
VID Voltage Range,0.8500V-1.3625V,0.850V-1.3500V,0.8500V-1.3500V,,0.850V-1.3500V,0.8500V-13625V,0.8500V-1.3625V,0.8500V-1.3500V,0.8500V-1.3500V,0.8500V-1.3500V,0.850V-1.3500V,0.9000V-1.4500V,0.9000V-1.4500V,0.900V-1.450V,0.900V-1.450V,0.900V-1.450V,0.900V-1.450V,0.9000V-1.4500V,,,,,,,,,,,,,,,,,0.8500V-1.3625V,,,0.8500V-1.3625V,,,,,,,,
FSB Parity,,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,No,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q1'09,Q3'08,Q2'08,Q3'08,Q3'08,Q3'08,Q3'08,Q1'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q3'09,Q4'09,Q1'09,Q3'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
Embedded Options Available,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Expected Discontinuance,,Q4'2010,,,Q4'2010,,,,,,Q4'2010,Q3'2011,Q3'2011,Q3'2011,Q3'2011,Q3'2011,Q3'2011,Q3'2011,,,,,,,,,,,,,,,,,,,,,,,,Q4'12,,Q4'12,Q4'12,Q4'12

Package Specifications
Sockets Supported,LGA775,LGA771,LGA771,LGA775,LGA771,LGA775,LGA775,LGA771,LGA771,,LGA771,PGA604,PGA604,PGA604,PGA604,PGA604,PGA604,PGA604,FCLGA1366 | PLGA1366,FCLGA1366 | PLGA1366,FCLGA1366 | PLGA1366,FCLGA1366,FCLGA1366 | PLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,LGA775,FCLGA1366,FCLGA1366,LGA775,FCLGA1366,FCLGA1366,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156
TCASE,78.65°C,57°C,56°C,72.4°C,63°C,71.4°C,71.4°C,66°C,61°C,75°C,63°C,65°C,73°C,68°C,68°C,68°C,68°C,64°C,76°C,76°C,76°C,76°C,75°C,75°C,75°C,67°C,67.9°C,67.9°C,67.9°C,,67.9°C,67.9°C,72°C,70°C,76.25°C,76°C,70°C,71.4°C,67°C,70°C,72.7°C,72.7°C,72.7°C,72.7°C,72.7°C,58.3°C
Processing Die Size,107 mm2,214 mm2,107 mm2,107 mm2,214 mm2,164 mm2,214 mm2,107 mm2,107 mm2,107 mm2,214 mm2,503 mm2,503 mm2,503 mm2,503 mm2,503 mm2,503 mm2,503 mm2,,,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,214 mm2,,,214 mm2,263 mm2,263 mm2,296 mm2,296 mm2,296 mm2,296 mm2,296 mm2,296 mm2
# of Processing Die Transistors,410 million,820 million,410 million,410 million,820 million,456 million,820 million,410 million,410 million,410 million,820 million,1900 million,1900 million,1900 million,1900 million,1900 million,1900 million,1900 million,,,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,820 million,,,820 million,731 million,731 million,774 million,774 million,774 million,774 million,774 million,774 million
Package Size,,37.5mm x 37.5mm,,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45mm,42.5mm x 45mm,,42.5mm x 45mm,42.5mm x 45mm,37.5mm x 37.5mm,42.5mm x 45mm,42.5mm x 45mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm
Max CPU Configuration,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,,2,2,,,,1,1,1,1,1,1

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Enhanced Intel SpeedStep® Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,No,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle States,,Yes,No,Yes,Yes,Yes,No,No,,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Demand Based Switching,,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,,Yes,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No
Instruction Set Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,,,,,,,,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2

Security & Reliability
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® AES New Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,,,,,,,No,No,No,No,No,No,No,No

CPU Specifications
# of Cores,,,,,,,,,,,,,,,,,,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,,4,4,4,4,4,4,4,4
Total Threads,,,,,,,,,,,,,,,,,,,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,4,4,,8,8,4,8,8,8,8,8
Processor Base Frequency,,,,,,,,,,,,,,,,,,,1.86 GHz,2.13 GHz,2.40 GHz,2.53 GHz,2.66 GHz,2.80 GHz,2.93 GHz,3.20 GHz,2.66 GHz,2.93 GHz,3.06 GHz,3.20 GHz,3.20 GHz,3.33 GHz,2.26 GHz,2.26 GHz,,2.00 GHz,2.13 GHz,,3.33 GHz,2.40 GHz,2.40 GHz,2.53 GHz,2.66 GHz,2.80 GHz,2.93 GHz,1.86 GHz
Cache,,,,,,,,,,,,,,,,,,,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache
Bus Speed,,,,,,,,,,,,,,,,,,,4.8 GT/s,4.8 GT/s,5.86 GT/s,5.86 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,5.86 GT/s,,4.8 GT/s,4.8 GT/s,,6.4 GT/s,5.86 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s
# of QPI Links,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,,2,2,,2,2,,,,,,
TDP,,,,,,,,,,,,,,,,,,,80 W,80 W,80 W,80 W,95 W,95 W,95 W,130 W,130 W,130 W,130 W,130 W,130 W,130 W,80 W,60 W,,80 W,60 W,,130 W,60 W,95 W,95 W,95 W,95 W,95 W,45 W
Max Turbo Frequency,,,,,,,,,,,,,,,,,,,,,2.66 GHz,2.80 GHz,3.06 GHz,3.20 GHz,3.33 GHz,3.46 GHz,2.93 GHz,3.20 GHz,3.33 GHz,3.46 GHz,3.46 GHz,3.60 GHz,2.53 GHz,2.48 GHz,,,,,3.60 GHz,2.66 GHz,2.80 GHz,2.93 GHz,3.20 GHz,3.46 GHz,3.60 GHz,3.20 GHz

Memory Specifications
Max Memory Size (dependent on memory type),,,,,,,,,,,,,,,,,,,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,24 GB,24 GB,24 GB,24 GB,24 GB,24 GB,144 GB,144 GB,,144 GB,144 GB,,144 GB,144 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB
Memory Types,,,,,,,,,,,,,,,,,,,DDR3 800,DDR3 800,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066,,DDR3 800,DDR3 800,,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333
Max # of Memory Channels,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,,3,3,2,2,2,2,2,2
Max Memory Bandwidth,,,,,,,,,,,,,,,,,,,19.2 GB/s,19.2 GB/s,25.6 GB/s,25.6 GB/s,32 GB/s,32 GB/s,32 GB/s,32 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,32 GB/s,32 GB/s,25.6 GB/s,25.6 GB/s,,19.2 GB/s,19.2 GB/s,,32 GB/s,25.6 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s
Physical Address Extensions,,,,,,,,,,,,,,,,,,,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,40-bit,40-bit,,40-bit,40-bit,,40-bit,40-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit
ECC Memory Supported ‡,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
PCI Express Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
PCI Express Configurations ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4
Max # of PCI Express Lanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16
