Cache,4 MB L2 Cache,4 MB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,4 MB L2 Cache,8 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,6 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,12 MB L3 Cache,16 MB L2 Cache,8 MB L2 Cache,16 MB L2 Cache,,,,,,,,,,,,,,,,,,,12 MB L2 Cache,,,12 MB L2 Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Speed,1333 MHz,1333 MHz,533 MHz,533 MHz,533 MHz,800 MHz,1066 MHz,1066 MHz,1333 MHz,1066 MHz,1066 MHz,1333 MHz,1333 MHz,1066 MHz,1333 MHz,1333 MHz,1333 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1066 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,,,,,,,,,,,,,,,,,,,1333 MHz,,,1333 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSB Parity,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDP,65 W,40 W,58 W,65 W,74 W,103 W,80 W,80 W,80 W,105 W,105 W,120 W,80 W,50 W,150 W,65 W,50 W,80 W,80 W,80 W,80 W,130 W,95 W,45 W,80 W,80 W,80 W,80 W,80 W,120 W,50 W,50 W,65 W,80 W,50 W,95 W,95 W,95 W,120 W,65 W,120 W,95 W,95 W,90 W,90 W,90 W,130 W,,,,,,,,,,,,,,,,,,,65 W,,,95 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),0 W,0 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VID Voltage Range,B2=1.0V-1.5V |  G0=.85V-1.5V,1.150V-1.250V,1.353V-1.461V,1.5V,1.5V,1.287V-1.400V,1.0000V-1.5000V,1.0000V-1.5000V,1.0000V-1.5000V,0.8500V-1.500V,0.8500V-1.500V,1.0000V-1.5000V,1.0000V-1.5000V,1.1000V-1.2500V,1.0000V-1.5000V,0.8500V-1.500V,1.1000V-1.2500V,1.0V-1.5V,1.0V-1.5V,1.0V-1.5V,1.0V-1.5V,1.0000V-1.5000V,,0.8500V-1.3625V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.950V-1.212V,0.850V-1.3500V,0.850V-1.3500V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,0.850V-1.3500V,0.8500V-1.3625V,0.850V-1.3500V,0.8500V-13625V,0.8500V-1.3625V,0.900V-1.450V,0.900V-1.450V,0.900V-1.450V,0.9000V-1.4500V,,,,,,,,,,,,,,,,,,,0.8500V-1.3625V,,,0.8500V-1.3625V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'06,Q2'06,Q1'02,Q4'02,Q4'03,Q2'04,Q4'06,Q4'06,Q1'07,Q1'07,Q1'07,Q4'06,Q1'07,Q1'07,Q3'07,Q4'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q1'09,Q4'07,Q4'07,Q4'07,Q1'08,Q4'07,Q4'07,Q1'08,Q3'08,Q4'07,Q4'07,Q1'08,Q1'08,Q1'08,Q1'08,Q4'07,Q1'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q1'09,Q1'10,Q1'09,Q1'10,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q3'09,Q4'09,Q1'09,Q3'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'10,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09,Q3'09,Q1'10,Q1'10,Q1'10,Q3'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q2'10,Q1'10,Q1'11,Q1'11,Q1'11,Q1'11,Q1'11,Q1'11
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
Embedded Options Available,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Expected Discontinuance,,,,,,,Q1'2009,Q1'2009,,,,Q1'2009,,Q1'2009,Q1'2009,,Q1'2009,Q3'2011,Q1'2010,Q1'2010,Q1'2010,Q1'2010,,,Q4'2010,Q4'2010,Q4'2010,,Q4'2010,Q4'2010,,Q4'2010,Q4'2010,Q4'2010,Q4'2010,,,,Q4'2010,,Q4'2010,,,Q3'2011,Q3'2011,Q3'2011,Q3'2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4'12,,Q4'12,Q4'12,Q4'12,Q4'12,,,,,,,,,,,,Q4'12,,,,,,,

Package Specifications
Sockets Supported,LGA771,LGA771,PPGA603 | PPGA604,PPGA603 | PPGA604,PPGA603 | PPGA604,PPGA604,LGA771 | PLGA771,LGA771 | PLGA771,LGA771 | PLGA771,LGA775,LGA775,LGA771 | PLGA771,LGA771 | PLGA771,PLGA771,PLGA771,PLGA775,PLGA771,PGA604 | PPGA604,PGA604 | PPGA604,PGA604 | PPGA604,PGA604 | PPGA604,PGA604 | PPGA604,LGA775,LGA775,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA775,LGA775,LGA775,LGA771,LGA775,LGA771,LGA775,LGA775,PGA604,PGA604,PGA604,PGA604,FCLGA1366 | PLGA1366,FCLGA1366,FCLGA1366 | PLGA1366,FCLGA1366,FCLGA1366 | PLGA1366,FCLGA1366,FCLGA1366 | PLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,LGA775,FCLGA1366,FCLGA1366,LGA775,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1156,FCLGA1366 | LGA1366,FCLGA1366,FCLGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1156 | LGA1156,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366
TCASE,65°C,58°C,70°C,C1+D1=74°C; M0=72°C,C1+D1=75°C; M0=72°C,72°C,66°C,66°C,66°C,62.2°C,62.2°C,70°C,66°C,60°C,63°C,72°C,60°C,66°C,66°C,66°C,66°C,66°C,60.4°C,78.65°C,67°C,67°C,67°C,67°C,67°C,63°C,57°C,57°C,66°C,67°C,57°C,71.4°C,71.4°C,71.4°C,63°C,72.4°C,63°C,71.4°C,71.4°C,68°C,68°C,68°C,64°C,76°C,76°C,76°C,76°C,76°C,76°C,75°C,75°C,75°C,67°C,67.9°C,67.9°C,67.9°C,,67.9°C,67.9°C,72°C,70°C,76.25°C,76°C,70°C,71.4°C,67.9°C,67°C,70°C,72.7°C,72.7°C,72.7°C,72.7°C,72.7°C,58.3°C,53.9°C,78.5°C,67.9°C,67.9°C,81.3°C,81.3°C,81.3°C,77.6°C,77.6°C,77.6°C,69.4°C,63.1°C,72.7°C,76.2°C,78.5°C,81.3°C,76.2°C,,,
Package Size,37.5mm x 37.5mm,37.5mm x 37.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45.0mm,42.5mm x 45mm,42.5mm x 45mm,,42.5mm x 45mm,42.5mm x 45mm,37.5mm x 37.5mm,42.5mm x 45.0mm,42.5mm x 45mm,42.5mm x 45mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,42.5mm x 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mmX45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,37.5mm x 37.5mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm
