ARK | Intel® Product Specification Comparison
08/24/2023 09:43:15 PM
 ,Intel® Xeon® E-2124G Processor ,Intel® Xeon® E-2186G Processor ,Intel® Xeon® E-2124 Processor ,Intel® Xeon® E-2136 Processor ,Intel® Xeon® E-2134 Processor ,Intel® Xeon® E-2186M Processor ,Intel® Xeon® E-2176G Processor ,Intel® Xeon® E-2144G Processor ,Intel® Xeon® E-2126G Processor ,Intel® Xeon® E-2174G Processor ,Intel® Xeon® E-2146G Processor ,Intel® Xeon® E-2176M Processor ,Intel® Xeon® E-2286G Processor ,Intel® Xeon® E-2276G Processor ,Intel® Xeon® E-2224 Processor ,Intel® Xeon® E-2224G Processor ,Intel® Xeon® E-2226G Processor ,Intel® Xeon® E-2234 Processor ,Intel® Xeon® E-2236 Processor ,Intel® Xeon® E-2244G Processor ,Intel® Xeon® E-2274G Processor ,Intel® Xeon® E-2246G Processor ,Intel® Xeon® E-2276M Processor ,Intel® Xeon® E-2286M Processor ,Intel® Xeon® E-2254ME Processor ,Intel® Xeon® E-2276ME Processor ,Intel® Xeon® E-2288G Processor ,Intel® Xeon® E-2254ML Processor ,Intel® Xeon® E-2278G Processor ,Intel® Xeon® E-2276ML Processor ,Intel® Xeon® E-2278GEL Processor ,Intel® Xeon® E-2226GE Processor ,Intel® Xeon® E-2278GE Processor ,Intel® Xeon® E-2336 Processor ,Intel® Xeon® E-2324G Processor ,Intel® Xeon® E-2356G Processor ,Intel® Xeon® E-2334 Processor ,Intel® Xeon® E-2314 Processor ,Intel® Xeon® E-2374G Processor ,Intel® Xeon® E-2378 Processor ,Intel® Xeon® E-2378G Processor ,Intel® Xeon® E-2388G Processor ,Intel® Xeon® E-2386G Processor 
Included Items,This product is available in tray and box. For boxed product |  a thermal solution is included,,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,,This product is available in tray and box. For boxed product |  a thermal solution is included,,,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,,,,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,,,,,,,,,,,,,,,,,,,,,,,,
Product Brief,,,,,,,,,,,,,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,,,View now,,View now,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,128 GB,64 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB
Memory Types,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.8 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,,,,,,,,,,,,41.8 GB/s,41.8 GB/s,,,,,,,41.6 GB/s,41.6 GB/s,41.6 GB/s,,,,,,,,,,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Optane™ DC Persistent Memory Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No

Processor Graphics
Processor Graphics ‡,Intel® UHD Graphics P630,Intel® UHD Graphics P630,,,,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,,Intel® UHD Graphics P630,Intel® UHD Graphics P630,,,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,Intel® UHD Graphics P750,Intel® UHD Graphics P750,,,Intel® UHD Graphics P750,,Intel® UHD Graphics P750,Intel® UHD Graphics P750,Intel® UHD Graphics P750
Graphics Base Frequency,350 MHz,350 MHz,,,,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,350 MHz,350 MHz,,,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,350 MHz,350 MHz,,,350 MHz,,350 MHz,350 MHz,350 MHz
Graphics Max Dynamic Frequency,1.15 GHz,1.20 GHz,,,,1.20 GHz,1.20 GHz,1.15 GHz,1.15 GHz,1.20 GHz,1.15 GHz,1.20 GHz,1.20 GHz,1.20 GHz,,1.20 GHz,1.20 GHz,,,1.20 GHz,1.20 GHz,1.20 GHz,1.20 GHz,1.25 GHz,1.10 GHz,1.15 GHz,1.20 GHz,1.10 GHz,1.20 GHz,1.15 GHz,1.20 GHz,1.20 GHz,1.20 GHz,,1.30 GHz,1.30 GHz,,,1.30 GHz,,1.30 GHz,1.30 GHz,1.30 GHz
Graphics Video Max Memory,128 GB,128 GB,,,,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,,128 GB,128 GB,,,128 GB,128 GB,128 GB,64 GB,64 GB,64 GB,64 GB,128 GB,64 GB,128 GB,64 GB,128 GB,128 GB,128 GB,,64 GB,64 GB,,,64 GB,,64 GB,64 GB,64 GB
Graphics Output,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,N/A,,,N/A,N/A,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,,,,,,
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,No,Yes |  at 60Hz,Yes |  at 60Hz,No,No,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,,,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2160@24Hz,4096x2160@24Hz,,,,4096x2304@30Hz,4096x2160@24Hz,4096x2160@24Hz,4096x2160@24Hz,4096x2160@24Hz,4096x2160@24Hz,4096x2304@30Hz,4096x2160@24Hz,4096x2160@24Hz,N/A,4096x2160@24Hz,4096x2160@24Hz,N/A,N/A,4096x2160@24Hz,4096x2160@24Hz,4096x2160@24Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@24Hz,4096x2160@30Hz,4096x2160@24Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,,4096 x 2160 @60 Hz,4096 x 2160 @60 Hz,,,4096 x 2160 @60 Hz,,4096 x 2160 @60 Hz,4096 x 2160 @60 Hz,4096 x 2160 @60 Hz
Max Resolution (DP)‡,4096x2304@60Hz,4096x2304@60Hz,,,,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,N/A,4096x2304@60Hz,4096x2304@60Hz,N/A,N/A,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,,,5120 x 3200 @ 60 Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz,4096x2304@60Hz,,,,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,N/A,4096x2304@60Hz,4096x2304@60Hz,N/A,N/A,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,,,5120 x 3200 @ 60 Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz
Max Resolution (VGA)‡,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
DirectX* Support,12,12,,,,12,12,12,12,12,12,12,12,12,N/A,12,12,N/A,N/A,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,12.1,12.1,,,12.1,,12.1,12.1,12.1
OpenGL* Support,4.5,4.5,,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,N/A,4.5,4.5,N/A,N/A,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,4.5,4.5,,,4.5,,4.5,4.5,4.5
Intel® Quick Sync Video,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes
Intel® InTru™ 3D Technology,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes
Intel® Clear Video HD Technology,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes
