ARK | Intel® Product Specification Comparison
08/24/2023 09:32:55 PM
 ,Intel® Pentium® Processor G2120 ,Intel® Pentium® Processor G2100T ,Intel® Pentium® Processor G2130 ,Intel® Pentium® Processor G2020T ,Intel® Pentium® Processor G2020 ,Intel® Pentium® Processor G2010 ,Intel® Pentium® Processor G2120T ,Intel® Pentium® Processor G2140 ,Intel® Pentium® Processor G2030T ,Intel® Pentium® Processor G2030 ,Intel® Pentium® Processor G3220 ,Intel® Pentium® Processor G3220T ,Intel® Pentium® Processor G3420 ,Intel® Pentium® Processor G3420T ,Intel® Pentium® Processor G3430 ,Intel® Pentium® Processor G3320TE ,Intel® Pentium® Processor G3450 ,Intel® Pentium® Processor G3450T ,Intel® Pentium® Processor G3440 ,Intel® Pentium® Processor G3440T ,Intel® Pentium® Processor G3240 ,Intel® Pentium® Processor G3240T ,Intel® Pentium® Processor G3258 ,Intel® Pentium® Processor G3460 ,Intel® Pentium® Processor G3460T ,Intel® Pentium® Processor G3250 ,Intel® Pentium® Processor G3250T ,Intel® Pentium® Processor G3260 ,Intel® Pentium® Processor G3260T ,Intel® Pentium® Processor G3470 ,Intel® Pentium® Processor G4400 ,Intel® Pentium® Processor G4400TE ,Intel® Pentium® Processor G4400T ,Intel® Pentium® Processor G4500T ,Intel® Pentium® Processor G4500 ,Intel® Pentium® Processor G4520 ,Intel® Pentium® Processor G4560 ,Intel® Pentium® Processor G4600 ,Intel® Pentium® Processor G4620 ,Intel® Pentium® Processor G4560T ,Intel® Pentium® Processor G4600T 
Max Memory Size (dependent on memory type),32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB
Memory Types,DDR3 1333/1600,DDR3 1333/1600,DDR3 1333/1600,DDR3 1333,DDR3 1333,DDR3 1333,DDR3 1333/1600,DDR3 1333/1600,DDR3 1333/1600,DDR3 1333/1600,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333/1600 |  DDR3L-1333/1600 @ 1.5V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,25.6 GB/s,25.6 GB/s,25.6 GB/s,21 GB/s,21 GB/s,21 GB/s,25.6 GB/s,25.6 GB/s,21 GB/s,21 GB/s,21.3 GB/s,21.3 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,21.3 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,25.6 GB/s,25.6 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,25.6 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,,,,,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Processor Graphics
Processor Graphics ‡,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics 510,Intel® HD Graphics 510,Intel® HD Graphics 510,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 610,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 610,Intel® HD Graphics 630
Graphics Base Frequency,650 MHz,650 MHz,650 MHz,650 MHz,650 MHz,650 MHz,650 MHz,650 MHz,650 MHz,650 MHz,350 MHz,200 MHz,350 MHz,200 MHz,350 MHz,350 MHz,350 MHz,200 MHz,350 MHz,200 MHz,350 MHz,200 MHz,350 MHz,350 MHz,200 MHz,350 MHz,200 MHz,350 MHz,200 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz
Graphics Max Dynamic Frequency,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.10 GHz,1.10 GHz,1.15 GHz,1.10 GHz,1.10 GHz,1.00 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.00 GHz,950 MHz,950 MHz,950 MHz,1.05 GHz,1.05 GHz,1.05 GHz,1.10 GHz,1.10 GHz,1.05 GHz,1.05 GHz
Intel® Quick Sync Video,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® InTru™ 3D Technology,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Clear Video HD Technology,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Graphics Video Max Memory,,,,,,,,,,,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB
Graphics Output,,,,,,,,,,,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,
Max Resolution (HDMI)‡,,,,,,,,,,,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz
Max Resolution (DP)‡,,,,,,,,,,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,,,,,,,,,,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz
Max Resolution (VGA)‡,,,,,,,,,,,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DirectX* Support,,,,,,,,,,,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,11.1/12,12,12,12,12,12,12,12,12,12,12,12
OpenGL* Support,,,,,,,,,,,4.3,4.3,4.3,4.3,4.3,,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
4K Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
Intel® Clear Video Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Device ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1902,0x1902,0x1902,0x1912,0x1912,0x1912,0x5902,0x5912,0x5912,0x5902,0x5912

Expansion Options
PCI Express Revision,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,Up to 3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
