ARK | Intel® Product Specification Comparison
08/24/2023 09:02:23 PM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i7-8700T Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i7-8700B Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i7-8559U Processor ,Intel® Core™ i7-8086K Processor ,Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics ,Intel® Core™ i7-8565U Processor ,Intel® Core™ i7-8500Y Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i7-9800X X-series Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i7-9750H Processor ,Intel® Core™ i7-9750HF Processor ,Intel® Core™ i7-9850H Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i7-8569U Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i7-8557U Processor ,Intel® Core™ i7-8665UE Processor ,Intel® Core™ i7-8665U Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i7-9700E Processor ,Intel® Core™ i7-9850HE Processor ,Intel® Core™ i7-9700TE Processor ,Intel® Core™ i7-9850HL Processor ,Intel® Core™ i7-10710U Processor ,Intel® Core™ i7-10510U Processor ,Intel® Core™ i7-10510Y Processor ,Intel® Core™ i7-11370H Processor ,Intel® Core™ i7-11375H Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-10750H Processor ,Intel® Core™ i7-10810U Processor ,Intel® Core™ i7-10610U Processor ,Intel® Core™ i7-10850H Processor ,Intel® Core™ i7-10875H Processor ,Intel® Core™ i7-10700TE Processor ,Intel® Core™ i7-10700E Processor ,Intel® Core™ i7-10870H Processor ,Intel® Core™ i7-11700K Processor ,Intel® Core™ i7-11700KF Processor ,Intel® Core™ i7-11700T Processor ,Intel® Core™ i7-11700 Processor ,Intel® Core™ i7-11700F Processor ,Intel® Core™ i7-11850H Processor ,Intel® Core™ i7-11600H Processor ,Intel® Core™ i7-11800H Processor ,Intel® Core™ i7-11390H Processor ,Intel® Core™ i7-11850HE Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i7-12650HX Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-13800HE Processor ,Intel® Core™ i7-13850HX Processor ,Intel® Core™ i7-13800H Processor ,Intel® Core™ i7-13700HX Processor ,Intel® Core™ i7-13700E Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i7-6820HK Processor ,Intel® Core™ i7-6820HQ Processor ,Intel® Core™ i7-6920HQ Processor ,Intel® Core™ i7-6820EQ Processor ,Intel® Core™ i7-6822EQ Processor ,Intel® Core™ i7-6970HQ Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-6870HQ Processor ,Intel® Core™ i7-6770HQ Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition ,Intel® Core™ i7-7500U Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Core™ i7-7820HK Processor ,Intel® Core™ i7-7600U Processor ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor 
Total Threads,8,8,12,16,8,12,12,12,8,8,8,8,20,20,20,20,20,20,20,20,12,12,12,8,12,8,8,4,8,16,8,12,12,12,8,8,8,8,8,8,8,8,12,8,12,12,8,8,8,8,16,16,16,16,16,12,12,8,12,16,16,16,16,16,16,16,16,16,16,12,16,8,16,20,24,20,16,24,20,20,20,24,24,24,24,24,20,20,16,24,20,20,28,20,24,24,20,8,8,8,8,8,8,8,8,8,12,12,16,20,4,8,8,8,8,8,8,8,4,8,4,4,4
Max Turbo Frequency,4.50 GHz,4.00 GHz,4.00 GHz,4.30 GHz,4.20 GHz,4.70 GHz,4.60 GHz,4.00 GHz,4.10 GHz,4.10 GHz,4.20 GHz,4.10 GHz,4.60 GHz,4.80 GHz,4.70 GHz,4.90 GHz,4.90 GHz,5.00 GHz,5.00 GHz,4.70 GHz,4.30 GHz,4.60 GHz,4.10 GHz,4.50 GHz,5.00 GHz,4.10 GHz,4.60 GHz,4.20 GHz,4.90 GHz,4.40 GHz,4.90 GHz,4.50 GHz,4.50 GHz,4.60 GHz,4.30 GHz,4.70 GHz,4.70 GHz,4.50 GHz,4.40 GHz,4.80 GHz,4.70 GHz,4.40 GHz,4.40 GHz,3.80 GHz,4.10 GHz,4.70 GHz,4.90 GHz,4.50 GHz,4.80 GHz,5.00 GHz,4.50 GHz,4.80 GHz,4.80 GHz,5.10 GHz,5.10 GHz,5.00 GHz,4.90 GHz,4.90 GHz,5.10 GHz,5.10 GHz,4.40 GHz,4.50 GHz,5.00 GHz,5.00 GHz,5.00 GHz,4.60 GHz,4.90 GHz,4.90 GHz,4.80 GHz,4.60 GHz,4.60 GHz,5.00 GHz,4.70 GHz,,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.70 GHz,4.80 GHz,5.40 GHz,5.20 GHz,5.20 GHz,4.90 GHz,5.40 GHz,4.90 GHz,5.00 GHz,4.90 GHz,4.80 GHz,5.00 GHz,5.00 GHz,5.30 GHz,5.20 GHz,5.00 GHz,5.10 GHz,5.00 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.50 GHz,2.80 GHz,3.70 GHz,3.90 GHz,3.60 GHz,3.50 GHz,3.80 GHz,3.60 GHz,3.70 GHz,3.50 GHz,3.50 GHz,3.80 GHz,3.70 GHz,4.20 GHz,4.50 GHz,3.80 GHz,4.10 GHz,3.90 GHz,3.90 GHz,3.90 GHz,4.00 GHz,3.80 GHz,4.00 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,4.50 GHz,4.00 GHz,4.00 GHz,,4.20 GHz,4.70 GHz,4.60 GHz,4.00 GHz,4.10 GHz,4.10 GHz,4.20 GHz,4.10 GHz,4.60 GHz,4.80 GHz,,,,,,,4.30 GHz,4.60 GHz,4.10 GHz,4.50 GHz,5.00 GHz,4.10 GHz,,4.20 GHz,4.90 GHz,,4.90 GHz,,,,4.30 GHz,4.70 GHz,4.70 GHz,4.50 GHz,,,4.70 GHz,4.40 GHz,4.40 GHz,3.80 GHz,4.10 GHz,,,,,,4.40 GHz,4.70 GHz,4.70 GHz,5.00 GHz,5.00 GHz,,,,,,,,,4.90 GHz,4.90 GHz,4.50 GHz,4.80 GHz,4.80 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60 GHz,3.60 GHz,3.80 GHz,3.50 GHz,2.80 GHz,3.70 GHz,3.90 GHz,3.60 GHz,3.50 GHz,,,,,3.50 GHz,3.80 GHz,3.70 GHz,4.20 GHz,4.50 GHz,3.80 GHz,4.10 GHz,3.90 GHz,3.90 GHz,3.90 GHz,4.00 GHz,3.80 GHz,4.00 GHz
Processor Base Frequency,4.30 GHz,1.80 GHz,3.50 GHz,3.60 GHz,1.90 GHz,3.70 GHz,3.20 GHz,2.40 GHz,3.10 GHz,3.10 GHz,3.10 GHz,3.10 GHz,,,,,,,,,2.60 GHz,3.20 GHz,2.20 GHz,2.70 GHz,4.00 GHz,3.10 GHz,1.80 GHz,1.50 GHz,3.60 GHz,3.80 GHz,3.60 GHz,2.60 GHz,2.60 GHz,2.60 GHz,2.00 GHz,2.80 GHz,3.00 GHz,1.70 GHz,1.70 GHz,1.90 GHz,3.00 GHz,2.60 GHz,2.70 GHz,1.80 GHz,1.90 GHz,1.10 GHz,1.80 GHz,1.20 GHz,,,2.00 GHz,2.90 GHz,2.90 GHz,3.80 GHz,3.80 GHz,2.60 GHz,1.10 GHz,1.80 GHz,2.70 GHz,2.30 GHz,2.00 GHz,2.90 GHz,2.20 GHz,3.60 GHz,3.60 GHz,1.40 GHz,2.50 GHz,2.50 GHz,,,,,,2.40 GHz,,,,,2.30 GHz,,2.40 GHz,,,,,,,,,1.10 GHz,,2.50 GHz,,,,1.90 GHz,2.50 GHz,2.70 GHz,2.70 GHz,2.90 GHz,2.80 GHz,2.00 GHz,2.80 GHz,3.30 GHz,2.70 GHz,2.60 GHz,3.60 GHz,3.40 GHz,3.20 GHz,3.00 GHz,2.70 GHz,2.90 GHz,3.00 GHz,3.60 GHz,4.20 GHz,2.80 GHz,3.10 GHz,2.90 GHz,2.80 GHz,2.90 GHz,2.50 GHz,2.40 GHz,3.50 GHz
Cache,8 MB,8192,8.25 MB L3 Cache,11 MB L3 Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB,8 MB,8 MB,8 MB,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16.5 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB,9 MB,12 MB,9 MB,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,15 MB,15 MB Intel® Smart Cache,20 MB,25 MB,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB,8 MB,8 MB,4 MB Intel® Smart Cache,8 MB,4 MB,4 MB,4 MB
Bus Speed,8 GT/s,4 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,,,,,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,4 GT/s,8 GT/s,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,4 GT/s,,4 GT/s
# of QPI Links,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,
TDP,112 W,15 W,140 W,140 W,15 W,95 W,65 W,35 W,,,,,,,,,,,,,45 W,65 W,45 W,28 W,95 W,,15 W,5 W,95 W,165 W,95 W,45 W,45 W,45 W,35 W,28 W,65 W,15 W,15 W,15 W,65 W,65 W,45 W,35 W,25 W,15 W,15 W,7 W,,,35 W,65 W,65 W,125 W,125 W,45 W,15 W,15 W,45 W,45 W,35 W,65 W,45 W,125 W,125 W,35 W,65 W,65 W,,,,,,,,,,,,,,,,,,,,,,35 W,,45 W,,,,65 W,45 W,45 W,45 W,45 W,45 W,25 W,45 W,65 W,45 W,45 W,140 W,140 W,140 W,140 W,15 W,35 W,45 W,65 W,91 W,45 W,45 W,45 W,15 W,45 W,15 W,15 W,28 W
Configurable TDP-up Frequency,,2.00 GHz,,,2.10 GHz,,,,,,,,,,,,,,,,,,,,,,2.00 GHz,1.60 GHz,,,,,,,,,,,2.00 GHz,2.10 GHz,,,,,,1.60 GHz,2.30 GHz,1.50 GHz,3.30 GHz,3.30 GHz,,,,,,,1.60 GHz,2.30 GHz,,,,,,,,,,,2.50 GHz,2.90 GHz,2.30 GHz,3.40 GHz,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90 GHz,,,,,,,,2.90 GHz,,,,
Configurable TDP-up,,25 W,,,25 W,,,,,,,,,,,,,,,,,,,,,,25 W,7 W,,,,,,,,,,,25 W,25 W,,,,,,25 W,25 W,9 W,35 W,35 W,,,,,,,25 W,25 W,,,,,,,,,,,45 W,45 W,45 W,35 W,45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 W,,,,,,,,25 W,,,,
Configurable TDP-down Frequency,,800 MHz,,,800 MHz,,,1.90 GHz,,,,,,,,,,,,,2.10 GHz,,1.70 GHz,1.90 GHz,,,800 MHz,600 MHz,,,,,,,1.50 GHz,,,,1.30 GHz,800 MHz,,,,,,800 MHz,800 MHz,400 MHz,3.00 GHz,3.00 GHz,1.30 GHz,,,3.50 GHz,3.50 GHz,,800 MHz,800 MHz,,,,,,3.10 GHz,3.10 GHz,900 MHz,,,2.10 GHz,2.50 GHz,1.90 GHz,2.90 GHz,2.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 MHz,1.90 GHz,,,,,,,800 MHz,,,,
Configurable TDP-down,,10 W,,,10 W,,,25 W,,,,,,,,,,,,,35 W,,35 W,20 W,,,10 W,3.5 W,,,,35 W,35 W,35 W,25 W,,,,12.5 W,10 W,,,35 W,,,12.5 W,10 W,4.5 W,28 W,28 W,25 W,,,95 W,95 W,35 W,12.5 W,10 W,35 W,35 W,,,35 W,95 W,95 W,25 W,,,35 W,35 W,35 W,28 W,35 W,,,,,,,,,,,,,,,,,,,,,,,,,35 W,35 W,35 W,,,35 W,,35 W,35 W,,,,,7.5 W,25 W,35 W,,,35 W,35 W,35 W,7.5 W,35 W,9.5 W,9.5 W,23 W
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,4.50 GHz,,,,,,,,,,,4.70 GHz,4.90 GHz,4.90 GHz,5.00 GHz,5.00 GHz,4.70 GHz,,,,,,,,,,4.50 GHz,,,,,,,,,,,,,,,,,,,,5.00 GHz,4.50 GHz,4.80 GHz,4.80 GHz,5.10 GHz,5.10 GHz,4.80 GHz,,,4.90 GHz,4.90 GHz,4.40 GHz,4.50 GHz,4.80 GHz,5.00 GHz,5.00 GHz,4.60 GHz,4.90 GHz,4.90 GHz,,,,,,,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.70 GHz,4.80 GHz,5.40 GHz,5.20 GHz,5.20 GHz,4.90 GHz,5.40 GHz,4.90 GHz,5.00 GHz,4.90 GHz,,5.00 GHz,,5.30 GHz,5.20 GHz,5.00 GHz,,,,,,,,,,,,4.00 GHz,3.80 GHz,4.00 GHz,4.00 GHz,,,,,,,,,,,,,
# of Performance-cores,,,,,,,,,,,,,8,8,6,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,6,6,8,6,6,6,8,8,8,8,8,6,6,6,8,6,6,8,6,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Efficiency-cores,,,,,,,,,,,,,4,4,8,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,12,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Single P-core Turbo Frequency,,,,,,,,,,,,,4.60 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.90 GHz,4.90 GHz,4.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60 GHz,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.70 GHz,4.80 GHz,5.30 GHz,5.10 GHz,5.10 GHz,4.80 GHz,5.30 GHz,4.90 GHz,5.00 GHz,4.90 GHz,4.80 GHz,5.00 GHz,5.00 GHz,5.30 GHz,5.20 GHz,5.00 GHz,5.10 GHz,5.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,
Single E-core Turbo Frequency,,,,,,,,,,,,,3.40 GHz,3.60 GHz,3.50 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50 GHz,3.40 GHz,3.70 GHz,3.50 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.70 GHz,4.20 GHz,4.10 GHz,4.10 GHz,3.60 GHz,4.20 GHz,3.60 GHz,3.70 GHz,3.60 GHz,3.60 GHz,3.70 GHz,4.00 GHz,3.80 GHz,4.00 GHz,3.70 GHz,3.90 GHz,4.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,
P-core Base Frequency,,,,,,,,,,,,,1.40 GHz,2.10 GHz,,2.10 GHz,2.10 GHz,3.60 GHz,3.60 GHz,1.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40 GHz,,,,,,,,3.40 GHz,2.10 GHz,2.10 GHz,1.40 GHz,3.40 GHz,,,,1.10 GHz,,,,,,1.90 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-core Base Frequency,,,,,,,,,,,,,1.00 GHz,1.60 GHz,,1.60 GHz,1.60 GHz,2.70 GHz,2.70 GHz,1.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50 GHz,1.50 GHz,1.50 GHz,1.00 GHz,2.50 GHz,,,,800 MHz,,,,,,1.30 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total L2 Cache,,,,,,,,,,,,,12 MB,12 MB,,12 MB,12 MB,12 MB,12 MB,12 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 MB,24 MB,24 MB,24 MB,24 MB,,,,24 MB,,,,,,24 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Base Power,,,,,,,,,,,,,35 W,65 W,45 W,65 W,65 W,125 W,125 W,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 W,55 W,45 W,45 W,55 W,45 W,55 W,45 W,125 W,65 W,65 W,35 W,125 W,55 W,45 W,45 W,35 W,45 W,45 W,55 W,45 W,55 W,65 W,45 W,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Turbo Power,,,,,,,,,,,,,,,115 W,180 W,180 W,190 W,190 W,99 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 W,157 W,115 W,115 W,157 W,,157 W,,253 W,219 W,219 W,106 W,253 W,157 W,115 W,115 W,,115 W,115 W,157 W,115 W,157 W,,115 W,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Power,,,,,,,,,,,,,,,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 W,45 W,35 W,35 W,45 W,35 W,45 W,35 W,,,,,,45 W,35 W,35 W,,35 W,35 W,45 W,35 W,45 W,,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00 GHz,,,5.10 GHz,5.10 GHz,,,5.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60 GHz,,,,,,,,,,,,,,,,,,1.80 GHz,,,,,1.80 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 W,,,,,65 W,,65 W,,,,,,,,,,,65 W,,,,,65 W,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60 GHz,,,,,,,,,,,,,,,,,,2.80 GHz,,,,,2.80 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'17,Q3'17,Q2'17,Q2'17,Q3'17,Q4'17,Q4'17,Q2'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q4'21,Q4'21,Q1'22,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q3'18,Q3'18,Q1'19,Q4'18,Q4'18,Q1'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q3'19,Q3'18,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q3'19,Q3'19,Q3'19,Q1'21,Q1'21,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q3'20,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q2'21,Q3'21,Q2'21,Q2'21,Q3'21,Q1'22,Q2'22,Q1'22,Q1'22,Q2'22,Q3'22,Q2'22,Q3'22,Q4'22,Q1'23,Q1'23,Q1'23,Q4'22,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q3'15,Q3'15,Q3'15,Q4'15,Q4'15,Q1'16,Q2'16,Q1'16,Q1'16,Q2'16,Q2'16,Q2'16,Q2'16,Q3'16,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q3'16,Q1'17,Q1'17,Q1'17,Q1'17
