ARK | Intel® Product Specification Comparison
08/24/2023 10:11:37 PM
 ,Intel Atom® x6425RE Processor ,Intel Atom® x6427FE Processor ,Intel Atom® x6414RE Processor ,Intel Atom® x6212RE Processor ,Intel Atom® x6200FE Processor ,Intel Atom® x6211E Processor ,Intel Atom® x6425E Processor ,Intel Atom® x6413E Processor ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel Atom® x7213E ,Intel Atom® x7211E ,Intel Atom® x7425E ,Intel Atom® Processor S1260 ,Intel Atom® Processor S1240 ,Intel Atom® Processor S1220 ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel Atom® x5-Z8330 Processor ,Intel Atom® x5-E8000 Processor ,Intel Atom® x5-Z8550 Processor ,Intel Atom® x5-Z8350 Processor ,Intel Atom® x7-Z8750 Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor 
Memory Types,4x32 LPDDR4/x 4267MT/s Max (8GB |  16GB |  @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB Max 32GB With In Band ECC,4x32 LPDDR4/x 4267MT/s Max (8GB |  16GB |  @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB Max 32GB With In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 2400MT/s Max  16GB / 2x64 DDR4 2400MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3733MT/s Max (8GB |  16GB @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR3 1333,DDR3 1333,DDR3 1333,LPDDR3 1600,LPDDR3 1600,DDR3L-RS 1600,1x32 LPDDR2/3 1066,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,1x32 LPDDR2/3 1066,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,DDR3L-RS 1600,DDR3L-1600,LPDDR3 1600,DDR3L-RS 1600,LPDDR3 1600,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,DDR3L (ECC and Non ECC) up to 1866 MT/s; LPDDR4 up to 2133 MT/s,DDR3L (ECC and Non ECC) up to 1866 MT/s;LPDDR4 up to 2133 MT/s,DDR3L (ECC and Non ECC) up to 1866MT/s; LPDDR4 up to 2400 MT/s,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,1x32 LPDDR2/3 1066 2x16 DDR3L 1333
Max # of Memory Channels,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,4,4,4,1,1
Max Memory Bandwidth,68.2 GB/s,68.2 GB/s,51.2 GB/s,51.2 GB/s,38.4 GB/s,51.2 GB/s,59.7 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,,,,10.6 GB/s,10.6 GB/s,10.6 GB/s,25.6 GB/s,25.6 GB/s,12.8 GB/s,4.2 GB/s,4.2 GB/s,4.2 GB/s,4.2 GB/s,12.8 GB/s,,25.6 GB/s,12.8 GB/s,25.6 GB/s,4.2 GB/s,4.2 GB/s,34.1 GB/s,34.1 GB/s,38.4 GB/s,4.2 GB/s,4.2 GB/s
ECC Memory Supported   ‡,No,No,No,No,Yes,No,No,No,No,No,,,,Yes,Yes,Yes,,,,,,,,,No,,,,,,Yes,Yes,Yes,,
Maximum Memory Speed,,,,,,,,,,,4800 MHz,4800 MHz,4800 MHz,,,,,,,,,,,,,,,,,,,,,,
Physical Address Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40-bit,40-bit,40-bit,,

Processor Graphics
Processor Graphics ‡,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics,Intel® UHD Graphics,Intel® UHD Graphics,,,,,,,,,,,,Intel® HD Graphics for Intel® Celeron® Processor N3000 Series,,,,,,Intel® HD Graphics 500,Intel® HD Graphics 500,Intel® HD Graphics 505,,
Graphics Base Frequency,400 MHz,400 MHz,400 MHz,350 MHz,,350 MHz,500 MHz,500 MHz,450 MHz,400 MHz,,,,,,,200 MHz,200 MHz,200 MHz,456 MHz,600 MHz,456 MHz,600 MHz,200 MHz,320 MHz,200 MHz,200 MHz,200 MHz,600 MHz,600 MHz,400 MHz,400 MHz,500 MHz,600 MHz,600 MHz
Graphics Output,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,N/A,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3,,,,,,,MIPI DSI,MIPI DSI,MIPI DSI,MIPI DSI,,eDP/DP/HDMI,,,,MIPI DSI,MIPI DSI,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,eDP/DP/HDMI/MIPI-DSI,MIDI DSI,MIPI DSI
Execution Units,32,32,16,16,0,16,32,16,16,16,16,16,24,,,,12,16,12,,,,,12,12,12,12,16,,,12,12,18,,
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,No,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,
Max Resolution (DP)‡,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,4096x2160 @60Hz,4096x2160 @60Hz,4096x2160 @60Hz,,
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,4096x2160@ 60Hz,,,,,,,2560x1600,2560x1600,,1280x800,up to 1920x1080,1280x800,up to 1920x1080,,,2560x1600,,2560x1600,up to 1920x1080,up to 1920x1080,3840x2160 @ 60Hz,3840x2160 @ 60Hz,3840x2160 @ 60Hz,up to 1920x1080,up to 1920x1080
DirectX* Support,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,12.1,12.1,12.1,,,,,,,9.3,,9.3,,,Yes,,,,,,Yes,Yes,Yes,,
OpenGL* Support,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.6,4.6,4.6,,,,,,,ES 3.0,ES 2.0,ES 3.0,ES 2.0,,Yes,,,,ES 2.0,ES 2.0,Yes,Yes,Yes,ES 2.0,ES 2.0
OpenCL* Support,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
# of Displays Supported ‡,3,3,3,3,0,3,3,3,3,3,3,3,3,,,,3,3,2,1,1,1,1,2,3,3,2,3,1,1,3,3,3,1,1
Graphics Burst Frequency,,,,,,750 MHz,750 MHz,750 MHz,,,,,,,,,600 MHz,600 MHz,500 MHz,,,,,500 MHz,,600 MHz,500 MHz,600 MHz,,,600 MHz,550 MHz,650 MHz,,
Graphics Max Dynamic Frequency,,,,,,,,,,,1.00 GHz,1.00 GHz,1.00 GHz,,,,,,,,,,,,,600 MHz,500 MHz,600 MHz,,,,,,,
Max Resolution (HDMI)‡,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,3840x2160,3840x2160,1920x1080,,,,,,,3840x2160,1920x1080,3840x2160,,,3840x2160 @30Hz,3840x2160 @30Hz,3840x2160 @30Hz,,
Graphics Video Max Memory,,,,,,,,,,,,,,,,,8 GB,8 GB,2 GB,,,,,,,8 GB,2 GB,8 GB,,,2 GB,2 GB,2 GB,,
Max Refresh Rate,,,,,,,,,,,,,,,,,,,,,60 Hz,,60 Hz,,,,,,60 Hz,60 Hz,,,,60 Hz,60 Hz
Intel® InTru™ 3D Technology,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,No,No,,
Intel® Clear Video HD Technology,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Intel® Clear Video Technology,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Device ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x5A85,0x5A85,0x5A84,,

Expansion Options
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,
PCI Express Configurations ‡,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,,,,,,,2x1 |  1x2,2x1 |  1x2,1x1,,,,,1X1,1x4/2x2/1x2 + 2x1/4x1,2x1 |  1x2,1x1,2x1 |  1x2,,,x4 | x2 | x1,x4 | x2 | x1,x4 | x2 | x1,,
Max # of PCI Express Lanes,8,8,8,8,8,8,8,8,8,8,9,9,9,8,8,8,2,2,1,,,,,1,4,2,1,2,,,6,6,6,,
PCI Support,,,,,Yes,,,,,,,,,PCI Support,PCI Support,PCI Support,,,,,,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,,,,,,,,,,,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,

I/O Specifications
# of USB Ports,4,4,4,4,4,4,4,4,,,,,,,,,3,3,,1,1,1,1,,,3,,3,1,1,8,8,8,,
USB Revision,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,,,2.0/3.2,2.0/3.2,2.0/3.2,,,,3.0,3.0,3.0,2.0 OTG,2.0 OTG,2.0 OTG,2.0 OTG,3.0,,3.0,3.0,3.0,2.0 OTG,2.0 OTG,2.0/3.0,2.0/3.0,2.0/3.0,,
Total # of SATA Ports,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,
Integrated LAN,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,
General Purpose IO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,5 x I2C,4 x I2C,5 x I2C,4 x I2C,,,,,,4,4 x I2C,Yes,Yes,Yes,,
UART,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,UART,UART,UART,,,,7 x USIF configurable,2 x USIF configurable,7 x USIF configurable,2 x USIF configurable,,,,,,2 x USIF configurable,2 x USIF configurable,Yes,Yes,Yes,,
Integrated Wireless‡,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max # of SATA 6.0 Gb/s Ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,

Package Specifications
Sockets Supported,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1283,FCBGA1283,FCBGA1283,UTFCBGA1380,UTFCBGA1380,UTFCBGA592,,,,,,FCBGA1170,UTFCBGA1380,UTFCBGA592,UTFCBGA1380,VF2BGA361,VF2BGA361,FCBGA1296,FCBGA1296,FCBGA1296,VF2BGA361,VF2BGA361
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,,,,1,1,1,,
TJUNCTION,110°C,110°C,110°C,110°C,110°C,105°C,105°C,105°C,110°C,110°C,105°C,105°C,105°C,,,,90°C,90°C,90°C,,,,,90°C,90°C,90°C,90°C,90°C,,,110°C,110°C,110°C,,
Operating Temperature Range,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,,,,,,,,,,-25°C to 85°C,-25°C to 85°C,-25°C to 85°C,-25°C to 85°C,,,,,,,,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C,-40°C to 85°C
Operating Temperature (Maximum),85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,,,,,,,,,,85 °C,85 °C,85 °C,85 °C,,,,,,,,85 °C,85 °C,85 °C,85 °C,85 °C
Operating Temperature (Minimum),-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,,,,,,,,,,-25 °C,-25 °C,-25 °C,-25 °C,,,,,,,,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C
Package Size,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,,,,17mm x 17mm,17mm x 17mm,17mm x 17mm,12mm x 12mm,11mm x 11mm,12mm x 12mm,11mm x 11mm,17mm x 17mm,25mm x 27mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,,,24mm x 31mm,24mm x 31mm,24mm x 31mm,,
TCASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100°C,103°C,98°C,,

Advanced Technologies
Intel® Time Coordinated Computing (Intel® TCC)‡,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Gaussian & Neural Accelerator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Intel® Speed Shift Technology,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
Secure Boot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,,,,,,,No,,,,,,No,No,No,,
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,
