ARK | Intel® Product Specification Comparison
08/24/2023 10:12:09 PM
 ,Intel Atom® Processor Z2480 ,Intel Atom® Processor Z2460 ,Intel Atom® Processor Z2580 ,Intel Atom® Processor Z2560 ,Intel Atom® Processor Z3480 ,Intel Atom® Processor Z3460 ,Intel Atom® Processor Z2760 ,Intel Atom® Processor Z2420 ,Intel Atom® Processor Z2520 ,Intel Atom® Processor Z3740 ,Intel Atom® Processor Z3770 ,Intel Atom® Processor Z3770D ,Intel Atom® Processor Z3740D ,Intel Atom® Processor Z3795 ,Intel Atom® Processor Z3775 ,Intel Atom® Processor Z3775D ,Intel Atom® Processor Z3745 ,Intel Atom® Processor Z3745D ,Intel Atom® Processor Z3735D ,Intel Atom® Processor Z3735E ,Intel Atom® Processor Z3735F ,Intel Atom® Processor Z3735G ,Intel Atom® Processor Z3785 ,Intel Atom® Processor Z3560 ,Intel Atom® Processor Z3580 ,Intel Atom® Processor Z3736F ,Intel Atom® Processor Z3736G ,Intel Atom® Processor Z3530 ,Intel Atom® Processor Z3570 ,Intel Atom® Processor Z3590 
Package Size,12mm x 12mm,12mm x 12mm,14mm x 14mm,14mm x 14mm,12mm x 12mm,12mm x 12mm,14mm x 14mm,12mm x 12mm,14mm x 14mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,14x14mm,14x14mm,17mm x 17mm,17mm x 17mm,14x14mm,14x14mm,14x14mm

Advanced Technologies
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Instruction Set,32-bit,32-bit,32-bit,32-bit,64-bit,64-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE |  Intel® SSE2 |  Intel® SSE3,Intel® SSE |  Intel® SSE2 |  Intel® SSE3,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3 |  Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3 |  Intel® SSE4.1 |  Intel® SSE4.2,,Intel® SSE |  Intel® SSE2 |  Intel® SSE3,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3,,,,,,,,,,,,,,,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3 |  Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3 |  Intel® SSE4.1 |  Intel® SSE4.2,,,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3 |  Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3 |  Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3 |  Intel® SSE4.1 |  Intel® SSE4.2
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes
Intel® Smart Idle Technology,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes
Intel® 64 ‡,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Identity Protection Technology ‡,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,

Security & Reliability
Execute Disable Bit ‡,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes
Intel® AES New Instructions,,,No,No,Yes,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,,,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes
Anti-Theft Technology,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
