ARK | Intel® Product Specification Comparison
08/24/2023 09:40:58 PM
 ,Intel® Xeon® Gold 6230 Processor ,Intel® Xeon® Gold 6238T Processor ,Intel® Xeon® Gold 6242 Processor ,Intel® Xeon® Gold 6244 Processor ,Intel® Xeon® Gold 6240 Processor ,Intel® Xeon® Gold 5218 Processor ,Intel® Xeon® Gold 5222 Processor ,Intel® Xeon® Gold 6248 Processor ,Intel® Xeon® Gold 6252 Processor ,Intel® Xeon® Gold 6240Y Processor ,Intel® Xeon® Gold 6230N Processor ,Intel® Xeon® Gold 6254 Processor ,Intel® Xeon® Gold 6210U Processor ,Intel® Xeon® Gold 6212U Processor ,Intel® Xeon® Platinum 8253 Processor ,Intel® Xeon® Platinum 8256 Processor ,Intel® Xeon® Platinum 8276 Processor ,Intel® Xeon® Platinum 8280L Processor ,Intel® Xeon® Platinum 8260 Processor ,Intel® Xeon® Platinum 8276L Processor ,Intel® Xeon® Platinum 8260L Processor ,Intel® Xeon® Platinum 8280 Processor ,Intel® Xeon® Platinum 8260Y Processor ,Intel® Xeon® Platinum 8268 Processor ,Intel® Xeon® Platinum 8270 Processor ,Intel® Xeon® Bronze 3204 Processor ,Intel® Xeon® Silver 4209T Processor ,Intel® Xeon® Silver 4210 Processor ,Intel® Xeon® Silver 4214 Processor ,Intel® Xeon® Gold 5220 Processor ,Intel® Xeon® Silver 4215 Processor ,Intel® Xeon® Silver 4208 Processor ,Intel® Xeon® Gold 5215 Processor ,Intel® Xeon® Gold 5215L Processor ,Intel® Xeon® Silver 4216 Processor ,Intel® Xeon® Gold 5217 Processor ,Intel® Xeon® Gold 5218N Processor ,Intel® Xeon® Silver 4214Y Processor ,Intel® Xeon® Gold 5218B Processor ,Intel® Xeon® Gold 6238 Processor ,Intel® Xeon® Gold 5220S Processor ,Intel® Xeon® Gold 6252N Processor ,Intel® Xeon® Gold 6230T Processor ,Intel® Xeon® Gold 5218T Processor ,Intel® Xeon® Gold 6234 Processor ,Intel® Xeon® Gold 6226 Processor ,Intel® Xeon® Gold 6238L Processor ,Intel® Xeon® Gold 6240L Processor ,Intel® Xeon® Gold 6222V Processor ,Intel® Xeon® Gold 6246 Processor ,Intel® Xeon® Gold 5220T Processor ,Intel® Xeon® Gold 6209U Processor ,Intel® Xeon® Gold 6262V Processor ,Intel® Xeon® Platinum 9242 Processor ,Intel® Xeon® Platinum 9282 Processor ,Intel® Xeon® Platinum 9221 Processor ,Intel® Xeon® Platinum 9222 Processor ,Intel® Xeon® Silver 4210R Processor ,Intel® Xeon® Silver 4214R Processor ,Intel® Xeon® Bronze 3206R Processor ,Intel® Xeon® Gold 6250 Processor ,Intel® Xeon® Gold 6256 Processor ,Intel® Xeon® Gold 5218R Processor ,Intel® Xeon® Gold 6240R Processor ,Intel® Xeon® Silver 4210T Processor ,Intel® Xeon® Gold 6238R Processor ,Intel® Xeon® Gold 6230R Processor ,Intel® Xeon® Gold 6226R Processor ,Intel® Xeon® Gold 6208U Processor ,Intel® Xeon® Silver 4215R Processor ,Intel® Xeon® Gold 6258R Processor ,Intel® Xeon® Gold 6248R Processor ,Intel® Xeon® Gold 6242R Processor ,Intel® Xeon® Gold 6246R Processor ,Intel® Xeon® Gold 5220R Processor ,Intel® Xeon® Gold 6250L Processor 
Total Threads,40,44,32,16,36,32,8,40,48,36,40,36,40,48,32,8,56,56,48,56,48,56,48,48,52,6,16,20,24,36,16,16,20,20,32,16,32,24,32,44,36,48,40,32,16,24,44,36,40,24,36,40,48,96,112,64,64,20,24,8,16,24,40,48,20,56,52,32,32,16,56,48,40,32,48,16
Max Turbo Frequency,3.90 GHz,3.70 GHz,3.90 GHz,4.40 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.70 GHz,3.90 GHz,3.50 GHz,4.00 GHz,3.90 GHz,3.90 GHz,3.00 GHz,3.90 GHz,4.00 GHz,4.00 GHz,3.90 GHz,4.00 GHz,3.90 GHz,4.00 GHz,3.90 GHz,3.90 GHz,4.00 GHz,1.90 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.90 GHz,3.50 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.20 GHz,3.70 GHz,3.70 GHz,3.20 GHz,3.90 GHz,3.70 GHz,3.90 GHz,3.60 GHz,3.90 GHz,3.80 GHz,4.00 GHz,3.70 GHz,3.70 GHz,3.90 GHz,3.60 GHz,4.20 GHz,3.90 GHz,3.90 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.70 GHz,3.70 GHz,3.20 GHz,3.50 GHz,1.90 GHz,4.50 GHz,4.50 GHz,4.00 GHz,4.00 GHz,3.20 GHz,4.00 GHz,4.00 GHz,3.90 GHz,3.90 GHz,4.00 GHz,4.00 GHz,4.00 GHz,4.10 GHz,4.10 GHz,4.00 GHz,4.50 GHz
Processor Base Frequency,2.10 GHz,1.90 GHz,2.80 GHz,3.60 GHz,2.60 GHz,2.30 GHz,3.80 GHz,2.50 GHz,2.10 GHz,2.60 GHz,2.30 GHz,3.10 GHz,2.50 GHz,2.40 GHz,2.20 GHz,3.80 GHz,2.20 GHz,2.70 GHz,2.40 GHz,2.20 GHz,2.40 GHz,2.70 GHz,2.40 GHz,2.90 GHz,2.70 GHz,1.90 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.50 GHz,2.10 GHz,2.50 GHz,2.50 GHz,2.10 GHz,3.00 GHz,2.30 GHz,2.20 GHz,2.30 GHz,2.10 GHz,2.70 GHz,2.30 GHz,2.10 GHz,2.10 GHz,3.30 GHz,2.70 GHz,2.10 GHz,2.60 GHz,1.80 GHz,3.30 GHz,1.90 GHz,2.10 GHz,1.90 GHz,2.30 GHz,2.60 GHz,2.30 GHz,2.30 GHz,2.40 GHz,2.40 GHz,1.90 GHz,3.90 GHz,3.60 GHz,2.10 GHz,2.40 GHz,2.30 GHz,2.20 GHz,2.10 GHz,2.90 GHz,2.90 GHz,3.20 GHz,2.70 GHz,3.00 GHz,3.10 GHz,3.40 GHz,2.20 GHz,3.90 GHz
Cache,27.5 MB,30.25 MB,22 MB,24.75 MB,24.75 MB,22 MB,16.5 MB,27.5 MB,35.75 MB,24.75 MB,27.5 MB,24.75 MB,27.5 MB,35.75 MB,22 MB,16.5 MB,38.5 MB,38.5 MB,35.75 MB,38.5 MB,35.75 MB,38.5 MB,35.75 MB,35.75 MB,35.75 MB,8.25 MB,11 MB,13.75 MB,16.5 MB,24.75 MB,11 MB,11 MB,13.75 MB,13.75 MB,22 MB,11 MB,22 MB,16.5 MB,22 MB,30.25 MB,24.75 MB,35.75 MB,27.5 MB,22 MB,24.75 MB,19.25 MB,30.25 MB,24.75 MB,27.5 MB,24.75 MB,24.75 MB,27.5 MB,33 MB,71.5 MB Intel® Smart Cache,77 MB Intel® Smart Cache,71.5 MB,71.5 MB,13.75 MB,16.5 MB,11 MB,35.75 MB,33 MB,27.5 MB,35.75 MB,13.75 MB,38.5 MB,35.75 MB,22 MB,22 MB,11 MB,38.5 MB,35.75 MB,35.75 MB,35.75 MB,35.75 MB,35.75 MB
Max # of UPI Links,3,3,3,3,3,2,2,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,0,3,4,4,4,4,2,2,2,3,3,2,2,2,2,2,2,0,2,2,2,2,2,2,3
TDP,125 W,125 W,150 W,150 W,150 W,125 W,105 W,150 W,150 W,150 W,125 W,200 W,150 W,165 W,125 W,105 W,165 W,205 W,165 W,165 W,165 W,205 W,165 W,205 W,205 W,85 W,70 W,85 W,85 W,125 W,85 W,85 W,85 W,85 W,100 W,115 W,110 W,85 W,125 W,140 W,125 W,150 W,125 W,105 W,130 W,125 W,140 W,150 W,115 W,165 W,105 W,125 W,135 W,350 W,400 W,250 W,250 W,100 W,100 W,85 W,185 W,205 W,125 W,165 W,95 W,165 W,150 W,150 W,150 W,130 W,205 W,205 W,205 W,205 W,150 W,185 W
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80 GHz,3.80 GHz,3.70 GHz,3.70 GHz,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q3'19,Q3'19,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20,Q1'20
Servicing Status,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing
Embedded Options Available,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Product Brief,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,,View now,,,View now,View now,View now,View now,,View now,View now,View now,View now,View now,View now,View now,,View now,View now,View now,View now,,View now,View now,View now,View now,View now,View now,View now,,,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,,View now,View now,View now,

Memory Specifications
Max Memory Size (dependent on memory type),1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,4.5 TB,1 TB,4.5 TB,4.5 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,4.5 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,4.5 TB,4.5 TB,1 TB,1 TB,1 TB,1 TB,1 TB,,,,,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,4.5 TB
Memory Types,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2667,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2133,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2667,DDR4-2400,DDR4-2400,DDR4-2667,DDR4-2667,DDR4-2400,DDR4-2667,DDR4-2667,DDR4-2400,DDR4-2667,DDR4-2933,DDR4-2667,DDR4-2933,DDR4-2933,DDR4-2667,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2400,DDR4-2933,DDR4-2667,DDR4-2933,DDR4-2400,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2400,DDR4-2400,DDR4-2133,DDR4-2933,DDR4-2933,DDR4-2667,DDR4-2933,DDR4-2400,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2400,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2667,DDR4-2933
Maximum Memory Speed,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2667 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2133 MHz,2400 MHz,2400 MHz,2400 MHz,2667 MHz,2400 MHz,2400 MHz,2667 MHz,2667 MHz,2400 MHz,2667 MHz,2667 MHz,2400 MHz,2667 MHz,2933 MHz,2667 MHz,2933 MHz,2933 MHz,2667 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2400 MHz,2933 MHz,2667 MHz,2933 MHz,2400 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2400 MHz,2400 MHz,2133 MHz,2933 MHz,2933 MHz,2667 MHz,2933 MHz,2400 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2400 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2667 MHz,2933 MHz
Max # of Memory Channels,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Intel® Optane™ Persistent Memory Supported,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
Scalability,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,1S Only,1S Only,S8S,S8S,S8S,S8S,S8S,S8S,S8S,S8S,S8S,S8S,S8S,2S,2S,2S,2S,4S,2S,2S,4S,4S,2S,4S,4S,2S,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,1S Only,4S,,,,,2S,2S,2S,S4S,S4S,2S,2S,2S,2S,2S,2S,1S Only,2S,2S,2S,2S,2S,2S,S4S
