ARK | Intel® Product Specification Comparison
08/24/2023 09:30:25 PM
 ,Intel® Pentium® Gold Processor 4415Y ,Intel® Pentium® Gold G5600 Processor ,Intel® Pentium® Gold G5500 Processor ,Intel® Pentium® Gold G5500T Processor ,Intel® Pentium® Gold G5400T Processor ,Intel® Pentium® Gold G5400 Processor ,Intel® Pentium® Gold G5600T Processor ,Intel® Pentium® Gold G5420T Processor ,Intel® Pentium® Gold G5420 Processor ,Intel® Pentium® Gold G5620 Processor ,Intel® Pentium® Gold Processor 4417U ,Intel® Pentium® Gold 5405U Processor ,Intel® Pentium® Gold Processor 4425Y ,Intel® Pentium® Gold G7400E Processor ,Intel® Pentium® Gold G7400TE Processor ,Intel® Pentium® Gold 6405U Processor ,Intel® Pentium® Gold G6600 Processor ,Intel® Pentium® Gold G6500T Processor ,Intel® Pentium® Gold G6500 Processor ,Intel® Pentium® Gold G6400 Processor ,Intel® Pentium® Gold G6400T Processor ,Intel® Pentium® Gold G6405T Processor ,Intel® Pentium® Gold G6405 Processor ,Intel® Pentium® Gold G6505 Processor ,Intel® Pentium® Gold G6505T Processor ,Intel® Pentium® Gold G6605 Processor ,Intel® Pentium® Gold G6400TE Processor ,Intel® Pentium® Gold G6400E Processor ,Intel® Pentium® Gold 7505 Processor ,Intel® Pentium® Gold 6500Y Processor ,Intel® Pentium® Gold G7400 Processor ,Intel® Pentium® Gold G7400T Processor ,Intel® Pentium® Gold Processor 8505 ,Intel® Pentium® Gold Processor 8505 ,Intel® Pentium® Gold Processor 8500 ,Intel® Pentium® Gold Processor 4415U ,Intel® Pentium® Gold Processor 4410Y 
Processor Base Frequency,1.60 GHz,3.90 GHz,3.80 GHz,3.20 GHz,3.10 GHz,3.70 GHz,3.30 GHz,3.20 GHz,3.80 GHz,4.00 GHz,2.30 GHz,2.30 GHz,1.70 GHz,,,2.40 GHz,4.20 GHz,3.50 GHz,4.10 GHz,4.00 GHz,3.40 GHz,3.50 GHz,4.10 GHz,4.20 GHz,3.60 GHz,4.30 GHz,3.20 GHz,3.80 GHz,,1.10 GHz,,,,,,2.30 GHz,1.50 GHz
Cache,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,2 MB,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache
Bus Speed,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,,,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,,,,,,4 GT/s,4 GT/s
TDP,6 W,54 W,54 W,35 W,35 W,58 W,35 W,35 W,54 W,54 W,15 W,15 W,6 W,,,15 W,58 W,35 W,58 W,58 W,35 W,35 W,58 W,58 W,35 W,58 W,35 W,58 W,,5 W,,,,,,15 W,6 W
Configurable TDP-down,4.5 W,,,25 W,25 W,,25 W,25 W,,,12.5 W,12.5 W,4.5 W,,,12.5 W,,25 W,,,25 W,25 W,,,25 W,,,,,3.5 W,,,,,,10 W,4.5 W
Configurable TDP-down Frequency,,,,2.20 GHz,2.10 GHz,,2.20 GHz,2.10 GHz,,,800 MHz,800 MHz,,,,800 MHz,,2.40 GHz,,,2.30 GHz,2.30 GHz,,,2.40 GHz,,,,,600 MHz,,,,,,,
# of Performance-cores,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,2,1,1,1,,
# of Efficiency-cores,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,4,4,4,,
P-core Base Frequency,,,,,,,,,,,,,,3.60 GHz,3.00 GHz,,,,,,,,,,,,,,,,3.70 GHz,3.10 GHz,,,,,
Total L2 Cache,,,,,,,,,,,,,,2.5 MB,2.5 MB,,,,,,,,,,,,,,,,2.5 MB,2.5 MB,,,,,
Processor Base Power,,,,,,,,,,,,,,46 W,35 W,,,,,,,,,,,,,,,,46 W,35 W,15 W,15 W,9 W,,
Max Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50 GHz,3.40 GHz,,,4.40 GHz,4.40 GHz,4.40 GHz,,
Configurable TDP-up Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 GHz,1.60 GHz,,,,,,,
Configurable TDP-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 W,7 W,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40 GHz,,,,,,,
Single P-core Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40 GHz,4.40 GHz,4.40 GHz,,
Single E-core Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30 GHz,3.30 GHz,3.30 GHz,,
Maximum Turbo Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55 W,55 W,29 W,,
Minimum Assured Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 W,,,

Supplemental Information
Marketing Status,Launched,Discontinued,Discontinued,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q2'17,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'19,Q2'19,Q2'19,Q2'19,Q1'19,Q1'19,Q1'19,Q1'22,Q1'22,Q4'19,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q2'20,Q2'20,Q4'20,Q1'21,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'17,Q1'17
Embedded Options Available,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No

Memory Specifications
Max Memory Size (dependent on memory type),16 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,64 GB,16 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,16 GB,128 GB,128 GB,64 GB,64 GB,64 GB,32 GB,16 GB
Memory Types,LPDDR3-1866 |  DDR3L-1600,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600,DDR4-2133 |  LPDDR3-1866,LPDDR3-1866 |  DDR3L-1600,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,DDR4-2400 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2400,DDR4-3200 |  LPDDR4x-3733,LPDDR3-1866 |  DDR3L-1600,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600,LPDDR3-1866 |  DDR3L-1600
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,29.8 GB/s,,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,34.1 GB/s,37.5 GB/s,29.8 GB/s,76.8 GB/s,76.8 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,37.5 GB/s,,33.3 GB/s,76.8 GB/s,76.8 GB/s,,,,34.1 GB/s,29.8 GB/s
ECC Memory Supported   ‡,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,,,,,,,,,,,No,No,No,No,,,No,No,No,No,No

Processor Graphics
Processor Graphics ‡,Intel® HD Graphics 615,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 630,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 630,Intel® HD Graphics 610,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® UHD Graphics 615,Intel® UHD Graphics 710,Intel® UHD Graphics 710,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics for 11th Gen Intel® Processors,Intel® UHD Graphics 615,Intel® UHD Graphics 710,Intel® UHD Graphics 710,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® HD Graphics 610,Intel® HD Graphics 615
Graphics Base Frequency,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,300 MHz,300 MHz,300 MHz,,,,300 MHz,300 MHz
Graphics Max Dynamic Frequency,850 MHz,1.10 GHz,1.10 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.10 GHz,950 MHz,950 MHz,850 MHz,1.35 GHz,1.35 GHz,950 MHz,1.10 GHz,1.05 GHz,1.10 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.10 GHz,1.05 GHz,1.10 GHz,1.05 GHz,1.05 GHz,1.25 GHz,900 MHz,1.35 GHz,1.35 GHz,1.10 GHz,1.10 GHz,800 MHz,950 MHz,850 MHz
Graphics Video Max Memory,16 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,32 GB,16 GB,,,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,16 GB,,,,,,32 GB,16 GB
Graphics Output,eDP/DP/HDMI/DVI,,,,,,,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP/DP/HDMI/DVI,,,,,,,,,,,,,eDP 1.4b |  MIPI-DSI 2.0 |  DP 1.4 |  HDMI 2.0b,eDP/DP/HDMI/DVI,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,,,,,,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096x2304@24Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2304@60Hz,4096x2304@24Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096x2304@24Hz,4096x2304@24Hz
Max Resolution (DP)‡,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,7680x4320@60Hz,3840x2160@60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,4096x2304@60Hz,4096x2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,3840x2160@60Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096x2304@60Hz,4096x2304@60Hz
DirectX* Support,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.1,12,12,12,12.1,12.1,12.1,12,12
OpenGL* Support,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.5,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.5,4.5,4.5,4.6,4.6,4.6,4.4,4.4
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Clear Video HD Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes
Intel® Clear Video Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,3
Device ID,0x591E,0x3E91,0x3E91,0x3E91,0x3E90/x93,0x3E90/x93,0x3E91,0x3E90/x93,0x3E90/x93,0x3E91,0x5906,0x3EA1,0x591E,0x4693,0x4693,0x9B21,0x9BC8,0x9BC8,0x9BC8,0x9BA8,0x9BA8,0x9BA8,0x9BA8,0x9BC8,0x9BC8,0x9BC8,0x9BA8,0x9BA8,0x9A78,0x591C,0x4693,0x4693,0x46B3,0x46B3,0x46C3,0x5906,0x591E
Intel® InTru™ 3D Technology,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
Execution Units,,,,,,,,,,,12,,,16,16,,,,,,,,,,,,,,48,23,16,16,48,48,48,,
OpenCL* Support,,,,,,,,,,,,,,2.1,2.1,,,,,,,,,,,,,,3.0,,3.0,3.0,3.0,3.0,3.0,,
Multi-Format Codec Engines,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,1,1,1,1,,

Expansion Options
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0 and 4.0,5.0 and 4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,5.0 and 4.0,5.0 and 4.0,,,,2.0,3.0
PCI Express Configurations ‡,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,,,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1
Max # of PCI Express Lanes,10,16,16,16,16,16,16,16,16,16,12,12,10,20,20,12,16,16,16,16,16,16,16,16,16,16,16,16,,10,20,20,20,20,14,10,10
Scalability,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,1S Only,1S Only,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,1S Only,1S Only,,,,,
Direct Media Interface (DMI) Revision,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,4.0,4.0,,,,,
Max # of DMI Lanes,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,8,8,,,,,
Intel® Thunderbolt™ 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,
Microprocessor PCIe Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,,,,Gen 4,Gen 4,Gen 4,,
Chipset / PCH PCIe Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,,,,Gen 3,Gen 3,Gen 3,,

Package Specifications
