ARK | Intel® Product Specification Comparison
08/24/2023 08:11:45 PM
 ,Intel® Core™2 Duo Processor T5800 ,Intel® Core™2 Duo Processor E7400 ,Intel® Core™2 Duo Processor E7500 ,Intel® Core™2 Quad Processor Q8200 ,Intel® Core™2 Duo Processor SL9300 ,Intel® Core™2 Duo Processor SL9400 ,Intel® Core™2 Duo Processor SP9300 ,Intel® Core™2 Duo Processor SP9400 ,Intel® Core™2 Duo Processor SU9300 ,Intel® Core™2 Duo Processor P7450 ,Intel® Core™2 Duo Processor T9800 ,Intel® Core™2 Duo Processor P8700 ,Intel® Core™2 Duo Processor P7370 ,Intel® Core™2 Duo Processor T9550 ,Intel® Core™2 Duo Processor SL9380 ,Intel® Core™2 Duo Processor T6600 ,Intel® Core™2 Duo Processor SP9600 ,Intel® Core™2 Duo Processor SL9600 ,Intel® Core™2 Duo Processor SU9600 ,Intel® Core™2 Duo Processor P9600 ,Intel® Core™2 Quad Processor Q8400 ,Intel® Core™2 Quad Processor Q8300 ,Intel® Core™2 Duo Processor T6500 ,Intel® Core™2 Duo Processor T9900 ,Intel® Core™2 Duo Processor P8800 ,Intel® Core™2 Duo Processor T6400 ,Intel® Core™2 Quad Processor Q9000 ,Intel® Core™2 Quad Processor Q9400S ,Intel® Core™2 Quad Processor Q9550S ,Intel® Core™2 Quad Processor Q8200S ,Intel® Core™2 Duo Processor E7600 ,Intel® Core™2 Duo Processor P7550 ,Intel® Core™2 Duo Processor T6670 ,Intel® Core™2 Quad Processor Q8400S ,Intel® Core™2 Solo Processor SU3500 ,Intel® Core™2 Duo Processor P7570 ,Intel® Core™2 Duo Processor P9700 ,Intel® Core™2 Quad Processor Q9505 ,Intel® Core™2 Quad Processor Q9505S 
Processor Base Frequency,2.00 GHz,2.80 GHz,2.93 GHz,2.33 GHz,1.60 GHz,1.86 GHz,2.26 GHz,2.40 GHz,1.20 GHz,2.13 GHz,2.93 GHz,2.53 GHz,2.00 GHz,2.66 GHz,1.80 GHz,2.20 GHz,2.53 GHz,2.13 GHz,1.60 GHz,2.66 GHz,2.66 GHz,2.50 GHz,2.10 GHz,3.06 GHz,2.66 GHz,2.00 GHz,2.00 GHz,2.66 GHz,2.83 GHz,2.33 GHz,3.06 GHz,2.26 GHz,2.20 GHz,2.66 GHz,1.30 GHz,2.26 GHz,2.80 GHz,2.83 GHz,2.83 GHz
Cache,2 MB L2 Cache,3 MB L2 Cache,3 MB L2 Cache,4 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,3 MB L2 Cache,3 MB L2 Cache,6 MB L2 Cache,3 MB L2 Cache,3 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,2 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,3 MB L2 Cache,6 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,2 MB L2 Cache,6 MB L2 Cache,3 MB L2 Cache,2 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,4 MB L2 Cache,3 MB L2 Cache,3 MB L2 Cache,2 MB L2 Cache,4 MB L2 Cache,3 MB,3 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache
Bus Speed,800 MHz,1066 MHz,1066 MHz,1333 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,800 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,800 MHz,800 MHz,1066 MHz,1066 MHz,800 MHz,1066 MHz,1333 MHz,1333 MHz,800 MHz,1066 MHz,1066 MHz,800 MHz,1066 MHz,1333 MHz,1333 MHz,1333 MHz,1066 MHz,1066 MHz,800 MHz,1333 MHz,800 MHz,1066 MHz,1066 MHz,1333 MHz,1333 MHz
FSB Parity,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,Yes,No,No,,,,No,No,,,
TDP,35 W,65 W,65 W,95 W,17 W,17 W,25 W,25 W,10 W,25 W,35 W,25 W,25 W,35 W,17 W,35 W,25 W,17 W,10 W,25 W,95 W,95 W,35 W,35 W,25 W,35 W,45 W,65 W,65 W,65 W,65 W,25 W,35 W,65 W,5.5 W,25 W,28 W,95 W,65 W
VID Voltage Range,1.075V-1.175V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,,1.050V - 1.150V,1.050V - 1.150V,,1.050V-1.150V,1.050V-1.150V,,1.00V - 1.25V,1.00V-1.25V,1.050V-1.212V,1.050V-1.150V,1.00V-1.250V,1.050V-1.150V,1.050V-1.150V,1.050V-1.150V,1.050V-1.212V,0.8500V-1.3625V,0.8500V-1.3625V,,1.050V-1.2125V,1.00V-1.25V,1.000V-1.250V,1.050V-1.175V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,,,0.8500V-1.3625V,1.050V-1.150V,,1.012V-1.175V,0.8500V-1.3625V,0.8500V-1.3625V

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q4'08,Q1'08,Q1'09,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q1'09,Q4'08,Q4'08,Q4'08,Q4'08,Q3'08,Q1'09,Q1'09,Q1'09,Q1'09,Q4'08,Q2'09,Q4'08,Q2'09,Q2'09,Q2'09,Q1'09,Q1'09,Q1'09,Q1'09,Q1'09,Q2'09,Q3'09,Q3'09,Q2'09,Q2'09,Q3'09,Q2'09,Q3'09,Q3'09
Servicing Status,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime
Embedded Options Available,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No

Package Specifications
Sockets Supported,PPGA478,LGA775,LGA775,LGA775,BGA956,BGA956,BGA956,BGA956,BGA956,BGA479 | BGA956 | PGA478,BGA479 | PGA478,BGA479 | PGA478,PGA478,BGA479 | PGA478,BGA956,PGA478,BGA479 | BGA956 | PBGA479,BGA956,BGA956,PBGA479 | PGA478,FCLGA775 | LGA775,LGA775,PGA478,BGA479 | PGA478,BGA479 | PGA478,PGA478,PGA478,LGA775,LGA775,LGA775,LGA775,PGA478,PGA478,FCLGA775 | LGA775,BGA956,PGA478,PGA478,FCLGA775 | LGA775,LGA775
TJUNCTION,85°C,,,,105°C,105°C,105°C,105°C,105°C,90°C,105°C,105°C,,105°C,105°C,90°C,105°C,105°C,105°C,105°C,,,105°C,105°C,105°C,105°C,100°C,,,,,90°C,105°C,,100°C,105°C,105°C,,
Package Size,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,22mm x 22mm,22mm x 22mm,22mm x 22mm,22mm x 22mm,22mm x 22mm,,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,22mm x 22mm,35 mm x 35 mm,22mm x 22mm,22mm x 22mm,22mm x 22mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,,,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm
Processing Die Size,143 mm2,82 mm2,82 mm2,164 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,164 mm2,164 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,164 mm2,214 mm2,164 mm2,82 mm2,107 mm2,107 mm2,164 mm2,107 mm2,107 mm2,107 mm2,164 mm2,164 mm2
# of Processing Die Transistors,291 million,228 million,228 million,456 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,456 million,456 million,410 million,410 million,410 million,410 million,410 million,456 million,820 million,456 million,228 million,410 million,410 million,456 million,410 million,410 million,410 million,456 million,456 million
TCASE,,74.1°C,74.1°C,71.4°C,,,,,,,,,,,,,,,,,71.4°C,71.4°C,,,,,,76.3°C,76.3°C,76.3°C,74.1°C,,,76.3°C,,,,71.4°C,76.3°C

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No
Intel® Virtualization Technology (VT-x) ‡,No,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Demand Based Switching,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,,,No,No,,No,No,No
Idle States,,Yes,Yes,Yes,No,No,No,No,,,No,Yes,,,No,,,,,,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes
Thermal Monitoring Technologies,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes

Security & Reliability
Intel® Trusted Execution Technology ‡,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,Yes,Yes,No,Yes,Yes,Yes,No,No,,,No,,No,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® AES New Instructions,,No,No,No,,,,,,,,,,,,,,,,,No,No,,,,,,No,No,No,No,,,No,,,,No,No
