Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,512 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,4 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB L2 Cache,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Speed,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,533 MHz,400 MHz,400 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,800 MHz,800 MHz,800 MHz,533 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,1066 MHz,1066 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,533 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,133 MHz,100 MHz,133 MHz,100 MHz,100 MHz,133 MHz,100 MHz,133 MHz,400 MHz,400 MHz,400 MHz,400 MHz,533 MHz,400 MHz,400 MHz,800 MHz,1066 MHz,1066 MHz,800 MHz,533 MHz,800 MHz,800 MHz,533 MHz,533 MHz,800 MHz,133 MHz,133 MHz,800 MHz,533 MHz,533 MHz,800 MHz,533 MHz,800 MHz,667 MHz,800 MHz,800 MHz,800 MHz,800 MHz,1066 MHz,800 MHz,800 MHz,800 MHz,800 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,800 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSB Parity,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDP,30 W,35 W,54.3 W,57.1 W,59.8 W,59.8 W,61 W,62.6 W,68.4 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,84 W,115 W,84 W,84 W,115 W,115 W,115 W,84 W,86 W,84 W,86 W,84 W,86 W,115 W,86 W,115 W,115 W,115 W,110.7 W,115 W,89 W,89 W,103 W,103 W,103 W,103 W,89 W,95 W,95 W,130 W,130 W,95 W,95 W,95 W,95 W,130 W,95 W,130 W,130 W,30.4 W,29 W,29 W,19.5 W,18.3 W,22.8 W,22.5 W,26.1 W,24.5 W,7.5 W,7.5 W,21 W,27 W,12 W,7.5 W,130 W,130 W,130 W,95 W,31 W,65 W,65 W,31 W,31 W,65 W,10.63 W,11.61 W,65 W,35 W,35 W,65 W,35 W,65 W,35 W,65 W,35 W,65 W,35 W,65 W,95 W,65 W,65 W,65 W,65 W,65 W,65 W,65 W,65 W,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VID Voltage Range,1.3V,1.3V,1.360V-1.435V,1.360V-1.435V,1.350V-1.430V,1.350V-1.525V,1.350V-1.430V,1.345V-1.525V,1.340V-1.525V,1.25V-1.400V,1.25V-1.400V,1.25V-1.400V,1.25V-1.400V,1.25V-1.400V,1.250V-1.400V,1.25V-1.400V,1.200V-1.425V,1.250-1.400V,1.200V-1.425V,1.200V-1.425V,1.200V-1.425V,1.200V-1.425V,1.200V-1.425V,1.200V-1.425V,1.250V-1.425V,1.200V-1.425V,1.200V-1.425V,1.250V-1.400V,1.200V-1.425V,1.200V-1.425V,1.200V-1.425V,1.200V-1.425V,1.200V-1.400V,1.200V-1.3375V,1.200V-1.400V,1.200V-1.3375V,1.200V-1.400V,1.200V-1.3375V,1.200V-1.400V,1.200V-1.3375V,1.200V-1.400V,1.200V-1.400V,1.200V-1.400V,1.287V-1.4V,1.200V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.200V-1.400V,1.200V-1.400V,1.200V-1.400V,1.200V-1.400V,1.200V-1.3375V,1.200V-1.3375V,1.200V-1.3375V,1.200V-1.3375V,1.200V-1.3375V,1.200V-1.3375V,1.200V-1.3375V,1.200V-1.3375V,1.5V,1.75V,1.75V,1.75V,1.65V,1.75V,1.7V,1.75V,0.956V-1.484V,0.988V-1.340V,1.276V-1.34V,1.276V-1.34V,1.260V-1.356V,0.956V-1.180V,0.988V-1.116V,1.200-1.400V,1.200V-1.3375V,1.200V-1.3375V,1.200V-1.3375V,0.7625V-1.3V,0.8500V-1.5V,0.8500V-1.5V,0.7625V-1.3V,0.7625V-1.3V,0.8500V-1.5V,1.15V,1.15V,0.8500V-1.5V,1.075V-1.175V,1.075V-1.175V,0.8500V-1.5V,1.075V-1.175V,0.8500V-1.3625V,1.075V-1.175V,0.8500V-1.3625V,,0.8500V-1.3625V,,0.8500V-1.3625V,1.200V-1.3375V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V – 1.3625V,0.85V – 1.3625V,0.8500V – 1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 W,,0 W,,0 W,,0 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 W,,0 W,,0 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q1'02,Q1'02,Q1'02,Q1'02,Q1'02,Q1'02,Q1'02,Q1'02,Q1'02,Q1'05,Q2'05,Q4'05,Q3'05,Q4'05,Q3'05,Q4'04,Q2'04,Q4'04,Q3'05,Q2'06,Q2'04,Q4'04,Q2'04,Q2'04,Q4'05,Q3'04,Q2'04,Q4'04,Q2'05,Q3'05,Q4'04,Q3'05,Q4'05,Q1'06,Q1'05,Q1'06,Q1'05,Q2'06,Q1'05,Q1'06,Q4'05,Q2'05,Q4'05,Q4'04,Q4'04,Q1'04,Q1'04,Q1'04,Q1'04,Q1'04,Q1'04,Q2'04,Q1'05,Q2'05,Q2'05,Q2'05,Q3'06,Q1'06,Q3'06,Q1'06,Q1'06,Q3'06,Q1'06,Q2'06,Q4'01,Q1'00,Q1'00,Q1'00,Q1'00,Q1'00,Q1'00,Q1'00,Q2'03,Q2'04,Q2'04,Q2'04,Q2'04,Q2'03,Q2'04,Q2'05,Q1'06,Q1'06,Q1'07,Q1'07,Q2'07,Q3'06,Q2'07,Q2'07,Q3'07,Q4'01,Q4'01,Q1'08,Q4'07,Q4'07,Q4'07,Q1'08,Q1'08,Q4'08,Q3'08,Q1'09,Q1'09,Q4'09,Q2'09,Q1'06,Q2'10,Q3'10,Q4'10,Q1'08,Q3'09,Q1'10,Q2'10,Q3'10,Q1'10,Q1'10,Q3'11,Q1'11,Q2'10,Q2'10,Q1'11,Q3'10,Q3'10,Q1'11,Q2'11,Q2'11,Q2'11,Q3'11,Q3'11,Q3'11,Q2'12,Q2'12,Q2'11,Q2'11,Q3'11,Q2'12,Q2'11,Q2'11,Q2'11,Q4'11,Q4'11,Q1'12,Q1'12,Q2'12,Q3'12,Q2'12,Q3'12,Q3'12,Q3'12,Q2'12,Q4'13
Servicing Status,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,,,,,,,,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime
Embedded Options Available,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes
Expected Discontinuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3'2013,Q2'2012,Q3'2013,Q3'13,Q3'2013,,Q3'2013,Q3'2013,Q2'2012,,Q3'2013,Q3'2013,,,,,,,,Q3'2013,,,Q3'2013,,Q3'2013,,
End of Servicing Updates Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019

Package Specifications
Sockets Supported,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PLGA775,PLGA775,PLGA775,PLGA775,PLGA775,PLGA775,PLGA775,PLGA775,LGA775 | PLGA775,PLGA775,PLGA775,PLGA775 | PPGA478,PLGA775,PLGA775,PLGA775 | PPGA478,LGA775 | PLGA775,PLGA775,PLGA775 | PPGA478,LGA775 | PLGA775,PLGA775,PLGA775,PLGA775,PLGA775,PLGA775,LGA775 | PLGA775,PLGA775,LGA775 | PLGA775,PLGA775,LGA775 | PLGA775,PLGA775 | PPGA775,LGA775 | PLGA775,PLGA775,PLGA775,PLGA775,LGA775 | PLGA775,PLGA775,,,,,,,,LGA775 | PLGA775,PLGA775,PLGA775,PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,H-PBGA479 | PPGA370 | PPGA478,PPGA370 | SECC2495,PPGA370 | SECC2495,PPGA370 | SECC2495 | SECC2576,PPGA370 | SECC2495,PPGA370 | SECC2370 | SECC2495,PPGA370 | SECC2495,PPGA370 | SECC2495,H-PBGA479 | PPGA478,PPGA478,H-PBGA479 | PPGA478,,H-PBGA479 | PPGA478,H-PBGA479,H-PBGA479,PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,LGA775 | PLGA775,PPGA478,LGA775 | PLGA775,LGA775 | PLGA775,PPGA478,PPGA478,LGA775,H-PBGA479,H-PBGA479,LGA775,PPGA478,PPGA478,LGA775,PPGA478,LGA775,PPGA478,LGA775,PGA478,LGA775,PGA478,LGA775,PLGA775,LGA775,LGA775,LGA775,LGA775,LGA775,LGA775,LGA775,LGA775,PGA478,FCLGA1156,FCLGA1156,FCLGA1156,PGA988,BGA1288,,PGA988,PGA988,PGA988,FCLGA1155,FCLGA1155,,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,PGA988,PGA988,FCBGA1023,FCBGA1023,FCPGA988 | PGA988,FCPGA988,FCBGA1023,FCLGA1155,FCBGA1023,FCBGA1284,FCLGA1155,FCBGA1023,FCLGA1155,FCPGA988 | PGA988,
TJUNCTION,100°C,100°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,,,100°C,,,100°C,100°C,,,,,100°C,100°C,,100°C,,100°C,,105°C,,105°C,,,,,,,,,,,,,,,90°C,105°C,105°C,90°C,90°C,90°C,,,,,,,,,,,,,85 C,85C,100,100 C,85C,85C,100C,,100C,100°C,,100C,,85C,
Package Size,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,,,,,,,,37.5mm x 37.5mm,,37.5mm x 37.5mm,,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,,,,,,,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,,,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,35mm x 35mm,,,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,35mm x 35mm,,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,,,37.5mm X 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mmx37.5mm,BGA 34mm x 28mm,BGA 34mm x 28mm,37.5mmx37.5mm,37.5mmx37.5mm,37.5mmx37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mmx37.5mm (rPGA988B),37.5mmx37.5mm (rPGA988B),31.0mm x 24.0mm (BGA1023),31.0mm x 24.0mm (BGA1023),37.5mmx37.5mm (rPGA988B),37.5mmx37.5mm (rPGA988B),31.0mm x 24.0mm (BGA1023),37.5 x 37.5 mm,31.0mm x 24.0mm (BGA1023),37.5mm x 37.5 mm,37.5mm x 37.5mm,31.0mm x 24.0mm (BGA1023),37.5mm x 37.5mm,37.5mmx37.5mm (rPGA988B),
Processing Die Size,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,135 mm2,81 mm2,135 mm2,81 mm2,135 mm2,81 mm2,135 mm2,81 mm2,135 mm2,135 mm2,135 mm2,,135 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,206 mm2,206 mm2,206 mm2,206 mm2,162 mm2,162 mm2,162 mm2,162 mm2,162 mm2,162 mm2,162 mm2,162 mm2,,,,,,,,,83 mm2,87 mm2,87 mm2,87 mm2,87 mm2,83 mm2,87 mm2,206 mm2,162 mm2,162 mm2,162 mm2,90 mm2,77 mm2,77 mm2,90 mm2,90 mm2,77 mm2,,,77 mm2,143 mm2,143 mm2,77 mm2,143 mm2,82 mm2,143 mm2,82 mm2,107 mm2,82 mm2,107 mm2,82 mm2,162 mm2,82 mm2,82 mm2,82 mm2,82 mm2,82 mm2,82 mm2,82 mm2,82 mm2,107 mm2,81 mm2,81 mm2,81 mm2,81 mm2,81 mm2,81 mm2,81 mm2,81 mm2,81 mm2,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Processing Die Transistors,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,169 million,188 million,169 million,188 million,169 million,188 million,169 million,188 million,169 million,169 million,169 million,,169 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,230 million,230 million,230 million,230 million,376 million,376 million,376 million,376 million,376 million,376 million,376 million,376 million,,,,,,,,,77 million,144 million,144 million,144 million,144 million,77 million,144 million,230 million,376 million,376 million,376 million,151 million,105 million,105 million,151 million,151 million,105 million,,,105 million,291 million,291 million,105 million,291 million,228 million,291 million,228 million,410 million,228 million,410 million,228 million,376 million,228 million,228 million,228 million,228 million,228 million,228 million,228 million,228 million,410 million,382 million,382 million,382 million,382 million,382 million,382 million,382 million,382 million,382 million,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCASE,,,69°C,70°C,71°C,71°C,72°C,70°C,70°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,72.8°C,67.7°C,67.7°C,72.8°C,72.8°C,72.8°C,66.6°C,B1+C1=69.2°C. D0=64.1°C,66.6°C,B1 | C1=69.2°C;     D0-64.4°C,66.6°C,69.2°C,70.8°C,B1+C1=69°C |  D0=64.4°C,70.8°C,70.8°C,70.8°C,66°C,70.8°C,69.4°C,69.4°C,73.5°C,73.5°C,73.5°C,73.5°C,73.5°C,64.1°C,64.1°C,69.8°C,69.8°C,63.4°C,63.4°C,63.4°C,63.4°C,B1=68.6°C |  C1=63.4°C,63.4°C,C1+D0=63.4°C |  B1=68.6°C,C1=68.6°C |  D0=63.4°C,69°C,75°C,75°C,82°C,80°C,80°C,80°C,80°C,,,,,,,,69.8°C,68.6°C,68.6°C,63.4°C,,L2=61.4°C; G0+M0=73.3°C,73.3°C,,,73.3°C,100°C,100°C,73.3°C,,,73.3°C,,74.1°C,,74.1°C,,74.1°C,,74.1°C,63.4°C,74.1°C,74.1°C,74.1°C,74.1°C,74.1°C,74.1°C,74.1°C,74.1°C,,72.6°C,72.6°C,72.6°C,,,,,,,69.1°C,65.0°C,69.1°C,69.1°C,65.0°C,69.1°C,69.1°C,65.0°C,69.1°C,69.1°C,69.1°C,69.1°C,,,,,,,,65.0°C,,,69.1°C,,65.0°C,,
Max CPU Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
