ARK | Intel® Product Specification Comparison
08/24/2023 09:49:41 PM
 ,Intel® Xeon® Processor E5-2440 v2 ,Intel® Xeon® Processor E5-2450 v2 ,Intel® Xeon® Processor E5-2450L v2 ,Intel® Xeon® Processor E5-2470 v2 ,Intel® Xeon® Processor E5-2640 v2 ,Intel® Xeon® Processor E5-2643 v2 ,Intel® Xeon® Processor E5-2650 v2 ,Intel® Xeon® Processor E5-2650L v2 ,Intel® Xeon® Processor E5-2660 v2 ,Intel® Xeon® Processor E5-2667 v2 ,Intel® Xeon® Processor E5-2670 v2 ,Intel® Xeon® Processor E5-2680 v2 ,Intel® Xeon® Processor E5-2690 v2 ,Intel® Xeon® Processor E5-2695 v2 ,Intel® Xeon® Processor E5-2697 v2 ,Intel® Xeon® Processor E5-4610 v2 ,Intel® Xeon® Processor E5-4620 v2 ,Intel® Xeon® Processor E5-4627 v2 ,Intel® Xeon® Processor E5-4640 v2 ,Intel® Xeon® Processor E5-4650 v2 ,Intel® Xeon® Processor E5-4657L v2 ,Intel® Xeon® Processor E5-1428L v2 ,Intel® Xeon® Processor E5-1620 v2 ,Intel® Xeon® Processor E5-1650 v2 ,Intel® Xeon® Processor E5-1660 v2 ,Intel® Xeon® Processor E5-2407 v2 ,Intel® Xeon® Processor E5-2418L v2 ,Intel® Xeon® Processor E5-2420 v2 ,Intel® Xeon® Processor E5-2430 v2 ,Intel® Xeon® Processor E5-2430L v2 ,Intel® Xeon® Processor E5-2609 v2 ,Intel® Xeon® Processor E5-2618L v2 ,Intel® Xeon® Processor E5-2620 v2 ,Intel® Xeon® Processor E5-2630 v2 ,Intel® Xeon® Processor E5-2630L v2 ,Intel® Xeon® Processor E5-2637 v2 ,Intel® Xeon® Processor E5-4603 v2 ,Intel® Xeon® Processor E5-4607 v2 ,Intel® Xeon® Processor E5-2448L v2 ,Intel® Xeon® Processor E5-2428L v2 ,Intel® Xeon® Processor E5-2403 v2 ,Intel® Xeon® Processor E5-2603 v2 ,Intel® Xeon® Processor E5-2628L v2 ,Intel® Xeon® Processor E5-2648L v2 ,Intel® Xeon® Processor E5-2658 v2 ,Intel® Xeon® Processor E5-2687W v2 ,Intel® Xeon® Processor E5-4624L v2 
Total Threads,16,16,20,20,16,12,16,20,20,16,20,20,20,24,24,16,16,8,20,20,24,12,8,12,12,4,12,12,12,12,4,12,12,12,12,8,8,12,20,16,4,4,16,20,20,16,20
Max Turbo Frequency,2.40 GHz,3.30 GHz,2.10 GHz,3.20 GHz,2.50 GHz,3.80 GHz,3.40 GHz,2.10 GHz,3.00 GHz,4.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.20 GHz,3.50 GHz,2.70 GHz,3.00 GHz,3.60 GHz,2.70 GHz,2.90 GHz,2.90 GHz,2.70 GHz,3.90 GHz,3.90 GHz,4.00 GHz,2.40 GHz,2.00 GHz,2.70 GHz,3.00 GHz,2.80 GHz,2.50 GHz,2.00 GHz,2.60 GHz,3.10 GHz,2.80 GHz,3.80 GHz,2.20 GHz,2.60 GHz,2.40 GHz,2.30 GHz,1.80 GHz,,2.40 GHz,2.50 GHz,3.00 GHz,4.00 GHz,2.50 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,2.40 GHz,3.30 GHz,2.10 GHz,3.20 GHz,2.50 GHz,3.80 GHz,3.40 GHz,2.10 GHz,3.00 GHz,4.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.20 GHz,3.50 GHz,2.70 GHz,3.00 GHz,3.60 GHz,2.70 GHz,2.90 GHz,2.90 GHz,2.70 GHz,3.90 GHz,3.90 GHz,4.00 GHz,,,2.70 GHz,3.00 GHz,2.80 GHz,,,2.60 GHz,3.10 GHz,2.80 GHz,3.80 GHz,,,2.40 GHz,2.30 GHz,,,2.40 GHz,2.50 GHz,3.00 GHz,4.00 GHz,2.50 GHz
Processor Base Frequency,1.90 GHz,2.50 GHz,1.70 GHz,2.40 GHz,2.00 GHz,3.50 GHz,2.60 GHz,1.70 GHz,2.20 GHz,3.30 GHz,2.50 GHz,2.80 GHz,3.00 GHz,2.40 GHz,2.70 GHz,2.30 GHz,2.60 GHz,3.30 GHz,2.20 GHz,2.40 GHz,2.40 GHz,2.20 GHz,3.70 GHz,3.50 GHz,3.70 GHz,2.40 GHz,2.00 GHz,2.20 GHz,2.50 GHz,2.40 GHz,2.50 GHz,2.00 GHz,2.10 GHz,2.60 GHz,2.40 GHz,3.50 GHz,2.20 GHz,2.60 GHz,1.80 GHz,1.80 GHz,1.80 GHz,1.80 GHz,1.90 GHz,1.90 GHz,2.40 GHz,3.40 GHz,1.90 GHz
Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,25 MB Intel® Smart Cache,20 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache
Bus Speed,7.2 GT/s,8 GT/s,7.2 GT/s,8 GT/s,7.2 GT/s,8 GT/s,8 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,7.2 GT/s,7.2 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,6.4 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,7.2 GT/s,6.4 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,7.2 GT/s,8 GT/s,6.4 GT/s,6.4 GT/s,8 GT/s,7.2 GT/s,6.4 GT/s,6.4 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s
# of QPI Links,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
TDP,95 W,95 W,60 W,95 W,95 W,130 W,95 W,70 W,95 W,130 W,115 W,115 W,130 W,115 W,130 W,95 W,95 W,130 W,95 W,95 W,115 W,60 W,130 W,130 W,130 W,80 W,50 W,80 W,80 W,60 W,80 W,50 W,80 W,80 W,60 W,130 W,95 W,95 W,70 W,60 W,80 W,80 W,70 W,70 W,95 W,150 W,70 W

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q1'14,Q1'14,Q1'14,Q1'14,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q1'14,Q1'14,Q1'14,Q1'14,Q1'14,Q1'14,Q1'14,Q3'13,Q3'13,Q3'13,Q1'14,Q1'14,Q1'14,Q1'14,Q1'14,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q1'14,Q1'14,Q1'14,Q1'14,Q1'14,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q1'14
Supply Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,,,Discontinued,Discontinued,Discontinued,Discontinued,,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,,,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
End of Servicing Updates Date,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020
Embedded Options Available,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes

Memory Specifications
Max Memory Size (dependent on memory type),384 GB,384 GB,384 GB,384 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,384 GB,256 GB,256 GB,256 GB,384 GB,384 GB,384 GB,384 GB,384 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,384 GB,384 GB,384 GB,768 GB,768 GB,768 GB,768 GB,256 GB,768 GB
Memory Types,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866,DDR3 800/1066/1333/1600/1866
Max # of Memory Channels,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
Max Memory Bandwidth,38.4 GB/s,38.4 GB/s,38.4 GB/s,38.4 GB/s,51.2 GB/s,59.7 GB/s,59.7 GB/s,51.2 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,51.2 GB/s,51.2 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,38.4 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,32 GB/s,32 GB/s,38.4 GB/s,38.4 GB/s,38.4 GB/s,42.6 GB/s,42.6 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,59.7 GB/s,42.6 GB/s,42.6 GB/s,38.4 GB/s,38.4 GB/s,32 GB/s,42.6 GB/s,51.2 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s
Physical Address Extensions,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,,,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
Scalability,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S,2S Only,2S Only,4S Only,4S Only,4S Only,4S Only,4S Only,4S Only,1S Only,1S Only,1S Only,1S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,4S Only,4S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S,2S Only,4S Only
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PCI Express Configurations ‡,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16
Max # of PCI Express Lanes,24,24,24,24,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,24,40,40,40,24,24,24,24,24,40,40,40,40,40,40,40,40,24,24,24,40,40,40,40,40,40

Package Specifications
Sockets Supported,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA1356,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011
Max CPU Configuration,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,4
TCASE,80°C,80°C,68°C,80°C,75°C,74°C,75°C,65°C,75°C,74°C,82°C,82°C,88°C,81°C,86°C,75°C,75°C,88°C,75°C,75°C,81°C,80°C,70°C,70°C,70°C,76°C,79.1°C,76°C,76°C,69°C,71°C,93°C,71°C,71°C,63°C,76°C,77°C,77°C,90.9°C,89.2°C,76°C,71°C,92°C,92°C,87°C,72°C,92°C
Package Size,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,52.5mm x 51mm,52.5mm x 45mm,52.5mm x 51mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 51mm,52.5mm x 51mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 51 mm,45mm x 42.5mm,52.5mm x 45.0 mm,52.5mm x 45.0 mm,52.5mm x 45.0 mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5 mm x 45 mm,52.5 mm x 45 mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5 mm x 45 mm

Advanced Technologies
