Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,512 KB L2 Cache,256 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,128 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB L2 Cache,256 KB,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB,1 MB L2 Cache,1 MB L2 Cache,1 MB Intel® Smart Cache,1 MB Intel® Smart Cache,1 MB,1 MB,,,,,,,,,,,,,,1 MB L2 Cache,1 MB L2 Cache,,,,,2 MB L3 Cache,,,,,,,,,,,,,,,,,,,,,,
Bus Speed,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,400 MHz,400 MHz,533 MHz,400 MHz,533 MHz,400 MHz,400 MHz,400 MHz,66 MHz,66 MHz,66 MHz,66 MHz,66 MHz,100 MHz,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,100 MHz,533 MHz,533 MHz,533 MHz,533 MHz,800 MHz,800 MHz,800 MHz,667 MHz,667 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,533 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,533 MHz,667 MHz,667 MHz,800 MHz,800 MHz,667 MHz,800 MHz,400 MHz,800 MHz,667 MHz,533 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,800 MHz,,,,,,,,,,,,,,800 MHz,800 MHz,,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,
FSB Parity,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDP,73 W,73 W,73 W,73 W,73 W,84 W,84 W,84 W,73 W,73 W,84 W,73 W,73 W,84 W,73 W,84 W,84 W,73 W,84 W,73 W,73 W,84 W,86 W,84 W,86 W,65 W,24.5 W,21 W,27 W,5.5 W,5.5 W,63.5 W,52.8 W,61 W,17.8 W,21.7 W,24.1 W,19.2 W,23.6 W,25.7 W,20.8 W,30 W,30 W,30 W,35 W,35 W,8.3 W,86 W,65 W,30 W,30 W,35 W,35 W,35 W,27 W,27 W,30 W,31 W,5.5 W,27 W,19 W,31 W,65 W,65 W,65 W,65 W,35 W,31 W,31 W,31 W,10 W,5.5 W,35 W,10 W,7 W,35 W,35 W,10 W,35 W,35 W,65 W,65 W,65 W,65 W,10 W,35 W,,,,,,,,,,,,,,10 W,35 W,,,,,17 W,,,,,,,,,,,,,,,,,,,,,,
VID Voltage Range,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.250V-1.400V,1.25V-1.325V,1.250V-1.400V,1.25V-1.325V,1.25V-1.325V,1.356V,1.004V-1.292V,1.0V-1.3V,0.876V-0.956V,0.85V-1.10V,1.75V,1.315V-1.525V,1.315V-1.525V,2.0V,2.0V,2.0V,1.50V |  1.70V |  1.75V,1.65V |  1.70V |  1.75V,1.70V |  1.75V,1.3V,1.3V,1.3V,1.3V,1.3V,1.3V,1.1V,1.25V-1.325V,1.25V-1.325V,0.95V-1.30V,0.95V-1.30V,1.0000V-1.3375V,1.0000V-1.3375V,1.0000V-1.3375V,1.1125-1.25V,1.1125-1.25V,0.95V-1.30V,0.95V-1.30V,0.85V-1.10V,0.95V-1.30V,1.0000V-1.3375V,0.95V-1.30V,0.8500V-1.5V,0.8500V-1.5V,0.8500V-1.5V,0.8500V-1.5V,1.0000V-1.3375V,,0.95-1.30V,0.95-1.30V,1.050V-1.150V,0.775V - 1.1V,1.075V-1.175V,,,1.00V-1.250V,1.075V-1.175V,0.80V-0.975V,,,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,0 W,0 W,0 W,0 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q4'05,Q3'04,Q2'04,Q2'04,Q2'04,Q2'04,Q4'04,Q2'04,Q4'04,Q2'04,Q4'04,Q2'04,Q2'04,Q4'04,Q4'04,Q4'04,Q2'04,Q4'04,Q4'04,Q3'05,Q3'05,Q3'05,Q2'06,Q4'05,Q2'06,Q4'06,Q2'03,Q2'04,Q1'06,Q2'04,Q1'06,Q1'02,Q1'02,Q1'02,Q1'99,Q1'99,Q2'99,Q1'00,Q1'00,Q1'00,Q1'02,Q2'04,Q2'04,Q2'04,Q1'02,Q1'02,Q4'01,Q4'06,Q1'07,Q1'07,Q3'06,Q2'07,Q2'07,Q3'06,Q1'06,Q1'07,Q3'07,Q3'06,Q3'07,Q1'07,Q4'07,Q1'08,Q1'08,Q2'09,Q3'06,Q2'08,Q3'08,Q2'08,Q3'06,Q3'08,Q3'08,Q3'08,Q4'08,Q3'09,Q2'03,Q3'08,Q4'08,Q3'06,Q1'09,Q3'10,Q3'09,Q3'09,Q1'10,Q3'10,Q3'09,Q1'10,Q1'10,Q1'10,Q1'10,Q2'10,Q1'11,Q1'10,Q3'10,Q3'11,Q3'11,Q3'11,Q2'12,Q2'12,Q3'12,Q1'11,Q1'11,Q1'11,Q2'11,Q2'11,Q3'11,Q2'11,Q3'11,Q3'11,Q2'11,Q3'11,Q3'11,Q3'11,Q4'11,Q4'11,Q1'12,Q1'12,Q1'12,Q1'12,Q2'12,Q3'12,Q2'12,Q2'12,Q3'12,Q3'12,Q3'12,Q3'12,Q1'13,Q2'13
