ARK | Intel® Product Specification Comparison
08/24/2023 09:48:19 PM
 ,Intel® Xeon® Processor E5-2695 v4 ,Intel® Xeon® Processor E5-2699 v4 ,Intel® Xeon® Processor E5-2687W v4 ,Intel® Xeon® Processor E5-2650L v4 ,Intel® Xeon® Processor E5-2698 v4 ,Intel® Xeon® Processor E5-2680 v4 ,Intel® Xeon® Processor E5-2697 v4 ,Intel® Xeon® Processor E5-2648L v4 ,Intel® Xeon® Processor E5-2683 v4 ,Intel® Xeon® Processor E5-2650 v4 ,Intel® Xeon® Processor E5-2697A v4 ,Intel® Xeon® Processor E5-2690 v4 ,Intel® Xeon® Processor E5-2658 v4 ,Intel® Xeon® Processor E5-2660 v4 ,Intel® Xeon® Processor E5-2628L v4 ,Intel® Xeon® Processor E5-2630L v4 ,Intel® Xeon® Processor E5-2667 v4 ,Intel® Xeon® Processor E5-2623 v4 ,Intel® Xeon® Processor E5-2630 v4 ,Intel® Xeon® Processor E5-2618L v4 ,Intel® Xeon® Processor E5-2637 v4 ,Intel® Xeon® Processor E5-2640 v4 ,Intel® Xeon® Processor E5-1660 v4 ,Intel® Xeon® Processor E5-2620 v4 ,Intel® Xeon® Processor E5-1630 v4 ,Intel® Xeon® Processor E5-2608L v4 ,Intel® Xeon® Processor E5-2643 v4 ,Intel® Xeon® Processor E5-2609 v4 ,Intel® Xeon® Processor E5-1620 v4 ,Intel® Xeon® Processor E5-1680 v4 ,Intel® Xeon® Processor E5-2603 v4 ,Intel® Xeon® Processor E5-1650 v4 ,Intel® Xeon® Processor E5-4660 v4 ,Intel® Xeon® Processor E5-4640 v4 ,Intel® Xeon® Processor E5-4627 v4 ,Intel® Xeon® Processor E5-4620 v4 ,Intel® Xeon® Processor E5-4628L v4 ,Intel® Xeon® Processor E5-4669 v4 ,Intel® Xeon® Processor E5-4667 v4 ,Intel® Xeon® Processor E5-4655 v4 ,Intel® Xeon® Processor E5-4650 v4 ,Intel® Xeon® Processor E5-4610 v4 ,Intel® Xeon® Processor E5-2699A v4 ,Intel® Xeon® Processor E5-2699R v4 
Total Threads,36,44,24,28,40,28,36,28,32,24,32,28,28,28,24,20,16,8,20,20,8,20,16,16,8,16,12,8,8,16,6,12,32,24,10,20,28,44,36,16,28,20,44,44
Max Turbo Frequency,3.30 GHz,3.60 GHz,3.50 GHz,2.50 GHz,3.60 GHz,3.30 GHz,3.60 GHz,2.50 GHz,3.00 GHz,2.90 GHz,3.60 GHz,3.50 GHz,2.80 GHz,3.20 GHz,2.40 GHz,2.90 GHz,3.60 GHz,3.20 GHz,3.10 GHz,3.20 GHz,3.70 GHz,3.40 GHz,3.80 GHz,3.00 GHz,4.00 GHz,1.70 GHz,3.70 GHz,,3.80 GHz,4.00 GHz,,4.00 GHz,3.00 GHz,2.60 GHz,3.20 GHz,2.60 GHz,2.20 GHz,3.00 GHz,3.00 GHz,3.20 GHz,2.80 GHz,1.80 GHz,3.60 GHz,3.60 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.30 GHz,3.60 GHz,3.50 GHz,2.50 GHz,3.60 GHz,3.30 GHz,3.60 GHz,2.50 GHz,3.00 GHz,2.90 GHz,3.60 GHz,3.50 GHz,2.80 GHz,3.20 GHz,2.40 GHz,2.90 GHz,3.60 GHz,3.20 GHz,3.10 GHz,3.20 GHz,3.70 GHz,3.40 GHz,,3.00 GHz,,1.70 GHz,3.70 GHz,,,,,,3.00 GHz,2.60 GHz,3.20 GHz,2.60 GHz,2.20 GHz,3.00 GHz,3.00 GHz,3.20 GHz,2.80 GHz,,3.60 GHz,3.60 GHz
Processor Base Frequency,2.10 GHz,2.20 GHz,3.00 GHz,1.70 GHz,2.20 GHz,2.40 GHz,2.30 GHz,1.80 GHz,2.10 GHz,2.20 GHz,2.60 GHz,2.60 GHz,2.30 GHz,2.00 GHz,1.90 GHz,1.80 GHz,3.20 GHz,2.60 GHz,2.20 GHz,2.20 GHz,3.50 GHz,2.40 GHz,3.20 GHz,2.10 GHz,3.70 GHz,1.60 GHz,3.40 GHz,1.70 GHz,3.50 GHz,3.40 GHz,1.70 GHz,3.60 GHz,2.20 GHz,2.10 GHz,2.60 GHz,2.10 GHz,1.80 GHz,2.20 GHz,2.20 GHz,2.50 GHz,2.20 GHz,1.80 GHz,2.40 GHz,2.20 GHz
Cache,45 MB Intel® Smart Cache,55 MB Intel® Smart Cache,30 MB Intel® Smart Cache,35 MB Intel® Smart Cache,50 MB Intel® Smart Cache,35 MB Intel® Smart Cache,45 MB Intel® Smart Cache,35 MB Intel® Smart Cache,40 MB Intel® Smart Cache,30 MB Intel® Smart Cache,40 MB Intel® Smart Cache,35 MB Intel® Smart Cache,35 MB Intel® Smart Cache,35 MB,30 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,10 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,15 MB Intel® Smart Cache,25 MB Intel® Smart Cache,20 MB,20 MB Intel® Smart Cache,10 MB,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,10 MB,20 MB,15 MB Intel® Smart Cache,15 MB,40 MB,30 MB,25 MB,25 MB,35 MB,55 MB,45 MB,30 MB,35 MB,25 MB,55 MB,55 MB
Bus Speed,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,8 GT/s,8 GT/s,9.6 GT/s,8 GT/s,8 GT/s,8 GT/s,9.6 GT/s,8 GT/s,0 GT/s,8 GT/s,0 GT/s,6.4 GT/s,9.6 GT/s,6.4 GT/s,0 GT/s,0 GT/s,6.4 GT/s,0 GT/s,9.6 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,6.4 GT/s,9.6 GT/s,9.6 GT/s
# of QPI Links,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
TDP,120 W,145 W,160 W,65 W,135 W,120 W,145 W,75 W,120 W,105 W,145 W,135 W,105 W,105 W,75 W,55 W,135 W,85 W,85 W,75 W,135 W,90 W,140 W,85 W,140 W,50 W,135 W,85 W,140 W,140 W,85 W,140 W,120 W,105 W,135 W,105 W,75 W,135 W,135 W,135 W,105 W,105 W,145 W,145 W

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q2'16,Q1'16,Q2'16,Q1'16,Q1'16,Q1'16,Q2'16,Q2'16,Q1'16,Q2'16,Q2'16,Q2'16,Q2'16,Q2'16,Q2'16,Q2'16,Q2'16,Q2'16,Q2'16,Q2'16,04'16,04'16
Servicing Status,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates
End of Servicing Updates Date,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022
Embedded Options Available,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes

Memory Specifications
Max Memory Size (dependent on memory type),1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB,1.5 TB
Memory Types,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133,DDR4 1600/1866/2133/2400,DDR4 1600/1866,DDR4 1600/1866/2133/2400,DDR4 1600/1866,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400,DDR4 1600/1866,DDR4 1600/1866/2133/2400,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4 1600/1866/2133/2400,DDR4 1600/1866/2133/2400
Max # of Memory Channels,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Max Memory Bandwidth,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,68.3 GB/s,68.3 GB/s,76.8 GB/s,68.3 GB/s,68.3 GB/s,68.3 GB/s,76.8 GB/s,68.3 GB/s,76.8 GB/s,68.3 GB/s,76.8 GB/s,59.7 GB/s,76.8 GB/s,59.7 GB/s,76.8 GB/s,76.8 GB/s,59.7 GB/s,76.8 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,76.8 GB/s,76.8 GB/s
Physical Address Extensions,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maximum Memory Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400 MHz,,,,,,,,,

Expansion Options
Scalability,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,2S,1S Only,2S,2S,2S,1S Only,1S Only,2S,1S Only,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,2S,2S
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PCI Express Configurations ‡,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16
Max # of PCI Express Lanes,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40

Package Specifications
Sockets Supported,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011
Max CPU Configuration,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,2,2
TCASE,84°C,79°C,76°C,64°C,90°C,86°C,79°C,87°C,84°C,80°C,78°C,89°C,91°C,79°C,87°C,62°C,78°C,73°C,74°C,87°C,75°C,76°C,70°C,74°C,69°C,94°C,75°C,74°C,69°C,70°C,73°C,69°C,83,80,82,79,87,90,87,82,80,79,,
Package Size,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,2.0,2.0,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
