ARK | Intel® Product Specification Comparison
08/24/2023 09:47:40 PM
 ,Intel® Xeon® Processor E7-2803 ,Intel® Xeon® Processor E7-4807 ,Intel® Xeon® Processor E7-2860 ,Intel® Xeon® Processor E7-4860 ,Intel® Xeon® Processor E7-8860 ,Intel® Xeon® Processor E7-2850 ,Intel® Xeon® Processor E7-4850 ,Intel® Xeon® Processor E7-8850 ,Intel® Xeon® Processor E7-8837 ,Intel® Xeon® Processor E7-8867L ,Intel® Xeon® Processor E7-2870 ,Intel® Xeon® Processor E7-4870 ,Intel® Xeon® Processor E7-8870 ,Intel® Xeon® Processor E7-2820 ,Intel® Xeon® Processor E7-2830 ,Intel® Xeon® Processor E7-4820 ,Intel® Xeon® Processor E7-4830 ,Intel® Xeon® Processor E7-8830 
Bus Speed,4.8 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,6.4 GT/s,5.86 GT/s,6.4 GT/s,6.4 GT/s
TDP,105 W,95 W,130 W,130 W,130 W,130 W,130 W,130 W,130 W,105 W,130 W,130 W,130 W,105 W,105 W,105 W,105 W,105 W
Max Turbo Frequency,,,2.67 GHz,2.67 GHz,2.67 GHz,2.40 GHz,2.40 GHz,2.40 GHz,2.80 GHz,2.53 GHz,2.80 GHz,2.80 GHz,2.80 GHz,2.27 GHz,2.40 GHz,2.27 GHz,2.40 GHz,2.40 GHz

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11
Expected Discontinuance,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015,Q3'2015
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No

Memory Specifications
Max Memory Size (dependent on memory type),1 TB,2 TB,1 TB,2 TB,4 TB,1 TB,2 TB,4 TB,4 TB,4 TB,1 TB,2 TB,4 TB,1 TB,1 TB,2 TB,2 TB,4 TB
Memory Types,DDR3 800/978/1066/1333 (Max Speed 800 MHz),DDR3 800/978/1066/1333 (Max Speed 800 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz),DDR3 800/978/1066/1333 (Max Speed 1066 MHz)
Max # of Memory Channels,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
Scalability,2S,S4S,S2S,S4S,S8S,S2S,S4S,S8S,S8S,S8S,S2S,S4S,S8S,2S,S2S,S4S,S4S,S8S

Package Specifications
Sockets Supported,FCLGA1567 | LGA1567,FCLGA1567 | LGA1567,LGA1567,LGA1567,FCLGA1567 | LGA1567,LGA1567,LGA1567,LGA1567,LGA1567,FCLGA1567 | LGA1567,LGA1567,LGA1567,FCLGA1567 | LGA1567,LGA1567,LGA1567,LGA1567,LGA1567,FCLGA1567 | LGA1567
Max CPU Configuration,2,4,2,4,8,2,4,8,8,8,2,4,8,2,2,4,4,8
TCASE,64°C,70°C,69°C,69°C,69°C,69°C,69°C,69°C,69°C,64°C,69°C,69°C,69°C,64°C,64°C,64°C,64°C,64°C
Package Size,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm,49.17mm x 56.47mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
