Cache,1 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,4 MB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,8 MB L2 Cache,4 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,6 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,8 MB L2 Cache
Bus Speed,800 MHz,1333 MHz,1333 MHz,667 MHz,667 MHz,1333 MHz,533 MHz,533 MHz,533 MHz,400 MHz,400 MHz,800 MHz,1066 MHz,1066 MHz,1333 MHz,1066 MHz,1066 MHz,1333 MHz,1333 MHz,667 MHz,667 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1333 MHz,1333 MHz,1066 MHz,1066 MHz,1333 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1066 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1600 MHz,1600 MHz,1333 MHz,1600 MHz,1333 MHz,1066 MHz,1333 MHz,1600 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1333 MHz,1600 MHz,1333 MHz,1066 MHz
FSB Parity,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No
TDP,55 W,65 W,65 W,31 W,31 W,40 W,58 W,65 W,74 W,30 W,40 W,103 W,80 W,80 W,80 W,105 W,105 W,120 W,80 W,31 W,15 W,50 W,50 W,40 W,35 W,150 W,65 W,80 W,80 W,50 W,80 W,80 W,80 W,80 W,130 W,95 W,50 W,80 W,80 W,80 W,80 W,80 W,80 W,80 W,120 W,150 W,50 W,65 W,80 W,80 W,80 W,50 W,95 W,95 W,95 W,120 W,120 W,65 W,40 W
VID Voltage Range,1.1125V-1.2000V,B2=1.00V-1.50V,B2=1.0V-1.5V |  G0=.85V-1.5V,1.1125-1.275V,1.1125V-1.25V,1.150V-1.250V,1.353V-1.461V,1.5V,1.5V,1.187V-1.274V,1.170V-1.265V,1.287V-1.400V,1.0000V-1.5000V,1.0000V-1.5000V,1.0000V-1.5000V,0.8500V-1.500V,0.8500V-1.500V,1.0000V-1.5000V,1.0000V-1.5000V,1.1125-1.275V,1.0V-1.2125V,1.1000V-1.2500V,1.1000V-1.2500V,B2=1.0V-1.5V |  G0=.85V-1.5V,B2=1.0V-1.5V |  G0=.85V-1.5V,1.0000V-1.5000V,0.8500V-1.500V,1.0V-1.5V,1.0V-1.5V,1.1000V-1.2500V,1.0V-1.5V,1.0V-1.5V,1.0V-1.5V,1.0V-1.5V,1.0000V-1.5000V,,1.0000V-1.5000V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.950V-1.212V,0.8500V-1.3500V,0.8500V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.8500V-1.3625V,0.8500V-1.3625V,0.8500V-1.3625V,0.850V-1.3500V,0.850V-1.3500V,0.8500V-1.3625V,0.9000V-1.2500V
Scenario Design Power (SDP),,0 W,0 W,,0 W,0 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'04,Q2'06,Q2'06,Q1'06,Q1'06,Q2'06,Q1'02,Q4'02,Q4'03,Q3'02,Q3'03,Q2'04,Q4'06,Q4'06,Q1'07,Q1'07,Q1'07,Q4'06,Q1'07,Q3'06,Q1'06,Q1'07,Q1'07,Q2'06,Q2'06,Q3'07,Q4'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q4'07,Q4'07,Q4'07,Q1'08,Q4'07,Q4'07,Q4'07,Q4'07,Q4'07,Q1'08,Q4'07,Q4'07,Q4'07,Q4'07,Q1'08,Q1'08,Q1'08,Q1'08,Q4'07,Q4'07,Q1'08,Q1'07
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
Embedded Options Available,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Expected Discontinuance,,,,,,,,,,,,,Q1'2009,Q1'2009,,,,Q1'2009,,,,Q1'2009,Q1'2009,,,Q1'2009,,Q1'2010,Q3'2011,Q1'2009,Q3'2011,Q1'2010,Q1'2010,Q1'2010,Q1'2010,,Q3'2011,Q4'2010,Q4'2010,Q4'2010,,Q4'2010,Q4'2010,Q4'2010,Q4'2010,Q4'2010,,Q4'2010,,Q4'2010,Q4'2010,Q4'2010,,,,Q4'2010,Q4'2010,,

Memory Specifications
Physical Address Extensions,32-bit,,,32-bit,32-bit,32-bit,,,,,,,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECC Memory Supported   ‡,No,,,No,No,No,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Package Specifications
Sockets Supported,PPGA604,,LGA771,PPGA478,PPGA478,LGA771,PPGA603 | PPGA604,PPGA603 | PPGA604,PPGA603 | PPGA604,,,PPGA604,LGA771 | PLGA771,LGA771 | PLGA771,LGA771 | PLGA771,LGA775,LGA775,LGA771 | PLGA771,LGA771 | PLGA771,,,PLGA771,PLGA771,LGA771,LGA771,PLGA771,PLGA775,PPGA604,PPGA604,PLGA771,PGA604 | PPGA604,PGA604 | PPGA604,PGA604 | PPGA604,PGA604 | PPGA604,PGA604 | PPGA604,LGA775,PPGA604,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA775,LGA775,LGA775,LGA771,LGA771,LGA775,PLGA771
TCASE,86°C,65°C,65°C,100°C,100°C,58°C,70°C,C1+D1=74°C; M0=72°C,C1+D1=75°C; M0=72°C,81°C,81°C,72°C,66°C,66°C,66°C,62.2°C,62.2°C,70°C,66°C,100°C,100°C,60°C,60°C,58°C,70.8°C,63°C,72°C,64°C,64°C,60°C,66°C,66°C,66°C,66°C,66°C,60.4°C,66°C,67°C,67°C,67°C,67°C,67°C,67°C,67°C,63°C,63°C,57°C,66°C,66°C,66°C,67°C,57°C,71.4°C,71.4°C,71.4°C,63°C,63°C,72.4°C,72.2°C
Package Size,42.5mm x 42.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,53.3mm x 53.3mm,53.3mm x 53.3mm,37.5mm x 37.5mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,53.3mm x 53.3mm,37.5mm x 37.5mm,53.3mm x 53.3mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm
Processing Die Size,112 mm2,143 mm2,143 mm2,90 mm2,90 mm2,143 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,112 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,90 mm2,90 mm2,286 mm2,286 mm2,143 mm2,143 mm2,286 mm2,143 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,107 mm2,107 mm2,107 mm2,214 mm2,214 mm2,164 mm2,214 mm2,214 mm2,214 mm2,214 mm2,107 mm2,286 mm2
# of Processing Die Transistors,125 million,291 million,291 million,151 million,151 million,291 million,55 million,55 million,55 million,55 million,55 million,125 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,151 million,151 million,582 million,582 million,291 million,291 million,582 million,291 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,820 million,820 million,820 million,820 million,820 million,820 million,820 million,820 million,820 million,820 million,410 million,410 million,410 million,820 million,820 million,456 million,820 million,820 million,820 million,820 million,410 million,582 million

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® Hyper-Threading Technology ‡,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® Virtualization Technology (VT-x) ‡,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,32-bit,32-bit,64-bit,32-bit,32-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Idle States,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Enhanced Intel SpeedStep® Technology,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Demand Based Switching,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,No,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,No,No,Yes,Yes,No,,,,,,,No,No,No,,,No,No,Yes,Yes,No,No,No,No,No,,,,No,,,,,,,,No,No,No,No,No,No,No,No,No,No,,,,No,No,,,,No,No,,No
Thermal Monitoring Technologies,,Yes,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,

Security & Reliability
Intel® Trusted Execution Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
