ARK | Intel® Product Specification Comparison
08/24/2023 09:09:49 PM
 ,Intel® Celeron® Processor G3930E ,Intel® Celeron® Processor G3930TE ,Intel® Celeron® G4900 Processor ,Intel® Celeron® G4920 Processor ,Intel® Celeron® G4900T Processor ,Intel® Celeron® Processor G4930T ,Intel® Celeron® Processor G4930 ,Intel® Celeron® Processor G4950 ,Intel® Celeron® Processor G4932E ,Intel® Celeron® Processor G4930E ,Intel® Celeron® Processor G5900 ,Intel® Celeron® Processor G5900T ,Intel® Celeron® Processor G5920 ,Intel® Celeron® Processor G5905T ,Intel® Celeron® Processor G5925 ,Intel® Celeron® Processor G5905 ,Intel® Celeron® Processor G5900TE ,Intel® Celeron® Processor G5900E ,Intel® Celeron® Processor G1610 ,Intel® Celeron® Processor G1620 ,Intel® Celeron® Processor G1610T ,Intel® Celeron® Processor G1630 ,Intel® Celeron® Processor G1620T ,Intel® Celeron® Processor G1830 ,Intel® Celeron® Processor G1820 ,Intel® Celeron® Processor G1820T ,Intel® Celeron® Processor G1820TE ,Intel® Celeron® Processor G1850 ,Intel® Celeron® Processor G1840 ,Intel® Celeron® Processor G1840T ,Intel® Celeron® Processor G3902E ,Intel® Celeron® Processor G3900TE ,Intel® Celeron® Processor G3900E ,Intel® Celeron® Processor G3920 ,Intel® Celeron® Processor G3900T ,Intel® Celeron® Processor G3900 ,Intel® Celeron® Processor G6900 ,Intel® Celeron® Processor G6900T ,Intel® Celeron® Processor G6900TE ,Intel® Celeron® Processor G6900E ,Intel® Celeron® Processor G3950 ,Intel® Celeron® Processor G3930 ,Intel® Celeron® Processor G3930T 
Total Threads,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Processor Base Frequency,2.90 GHz,2.70 GHz,3.10 GHz,3.20 GHz,2.90 GHz,3.00 GHz,3.20 GHz,3.30 GHz,1.90 GHz,2.40 GHz,3.40 GHz,3.20 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.00 GHz,3.20 GHz,2.60 GHz,2.70 GHz,2.30 GHz,2.80 GHz,2.40 GHz,2.80 GHz,2.70 GHz,2.40 GHz,2.20 GHz,2.90 GHz,2.80 GHz,2.50 GHz,1.60 GHz,2.30 GHz,2.40 GHz,2.90 GHz,2.60 GHz,2.80 GHz,,,,,3.00 GHz,2.90 GHz,2.70 GHz
Cache,2 MB,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,2 MB,2 MB,2 MB
TDP,54 W,35 W,54 W,54 W,35 W,35 W,54 W,54 W,25 W,35 W,58 W,35 W,58 W,35 W,58 W,58 W,35 W,58 W,55 W,55 W,35 W,55 W,35 W,53 W,53 W,35 W,35 W,53 W,53 W,35 W,25 W,35 W,35 W,51 W,35 W,51 W,,,,,51 W,51 W,35 W
Bus Speed,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,8 GT/s,8 GT/s,8 GT/s
Configurable TDP-down Frequency,,,,,1.80 GHz,1.80 GHz,,,,,,2.00 GHz,,2.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80 GHz
Configurable TDP-down,,,,,25 W,25 W,,,,,,25 W,,25 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Turbo Frequency,,,,,,,,,1.90 GHz,2.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Performance-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,
# of Efficiency-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,
P-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40 GHz,2.80 GHz,2.40 GHz,3.00 GHz,,,
Total L2 Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 MB,2.5 MB,2.5 MB,2.5 MB,,,
Processor Base Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46 W,35 W,35 W,46 W,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0

Supplemental Information
Marketing Status,Launched,Launched,Launched,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued
Launch Date,Q2'17,Q2'17,Q2'18,Q2'18,Q2'18,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'20,Q2'20,Q2'20,Q3'20,Q3'20,Q3'20,Q2'20,Q2'20,Q1'13,Q1'13,Q1'13,Q3'13,Q3'13,Q1'14,Q1'14,Q1'14,Q1'14,Q2'14,Q2'14,Q2'14,Q1'16,Q4'15,Q1'16,Q4'15,Q4'15,Q4'15,Q1'22,Q1'22,Q1'22,Q1'22,Q1'17,Q1'17,Q1'17
Servicing Status,ESU Notification Issued,ESU Notification Issued,,,,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,,,,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued
End of Servicing Updates Date,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,,,,,,,,,,,,,,,,,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,,,,,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024
Embedded Options Available,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
Expected Discontinuance,,,,,,,,,,,,,,,,,,,,,,,,07/14/2017,,07/14/2017,,,07/14/2017,07/14/2017,,,,,,,,,,,,,
Additional Information URL,,,,,,,,,,,,,,,,,,,,,,,,,,,View now,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,64 GB
Memory Types,DDR4-2133 |  DDR3L-1600,DDR4-2133 |  DDR3L-1600,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2400,DDR3 1333,DDR3 1333,DDR3 1333,DDR3 1333,DDR3 1333,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3 1333,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR3-1333 |  DDR3L-1333 @ 1.5V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,DDR4 2133 |  DDR3L 1333/1600 @ 1.35V,DDR4 2133 |  DDR3L 1333/1600 @ 1.35V,DDR4 2133 |  DDR3L 1333/1600 @ 1.35V
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes
Max Memory Bandwidth,,,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,,37.5 GB/s,,,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,37.5 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,,,

Processor Graphics
Processor Graphics ‡,Intel® HD Graphics 610,Intel® HD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® UHD Graphics 610,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics for 4th Generation Intel® Processors,Intel® HD Graphics 510,Intel® HD Graphics 510,Intel® HD Graphics 510,Intel® HD Graphics 510,Intel® HD Graphics 510,Intel® HD Graphics 510,Intel® UHD Graphics 710,Intel® UHD Graphics 710,Intel® UHD Graphics 710,Intel® UHD Graphics 710,Intel® HD Graphics 610,Intel® HD Graphics 610,Intel® HD Graphics 610
Graphics Base Frequency,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,650 MHz,650 MHz,650 MHz,650 MHz,650 MHz,350 MHz,350 MHz,200 MHz,350 MHz,350 MHz,350 MHz,200 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,300 MHz,300 MHz,300 MHz,350 MHz,350 MHz,350 MHz
Graphics Max Dynamic Frequency,1.00 GHz,950 MHz,1.05 GHz,1.05 GHz,1.00 GHz,1.00 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.00 GHz,1.05 GHz,1.00 GHz,1.05 GHz,1.05 GHz,1.00 GHz,1.00 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.00 GHz,1.05 GHz,1.05 GHz,1.05 GHz,950 MHz,950 MHz,950 MHz,950 MHz,950 MHz,950 MHz,1.30 GHz,1.30 GHz,1.30 GHz,1.30 GHz,1.05 GHz,1.05 GHz,1.00 GHz
Graphics Video Max Memory,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,,,,,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,1.7 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,,,,64 GB,64 GB,64 GB
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,,,,,,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,,1920x1080@60Hz,1920x1080@60Hz,1920x1080@60Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz
Max Resolution (DP)‡,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,,,,,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz,4096X2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,,,,,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,,2560x1600@60Hz,2560x1600@60Hz,2560x1600@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz
DirectX* Support,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,11.1/12,11.1/12,11.1/12,,11.1/12,11.1/12,11.1/12,12,12,12,12,12,12,12,12,12,12,12,12,12
OpenGL* Support,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,4.3,4.3,4.3,,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.4,4.4,4.4
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® InTru™ 3D Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes
Intel® Clear Video HD Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3
Device ID,0x5902,0x5902,0x3E93,0x3E93,0x3E93,0x3E93,0x3E93,0x3E93,0x3E9C,0x3E9C,0x9BA8,0x9BA8,0x9BA8,0x9BA8,0x9BA8,0x9BA8,0x9BA8,0x9BA8,,,,,,,,,,,,,0x1902,0x1902,0x1902,0x1902,0x1902,0x1902,0x4693,0x4693,0x4693,0x4693,0x5902,0x5902,0x5902
Intel® Clear Video Technology,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes
Graphics Output,,,,,,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,,,,,,,,,,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI/VGA,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,
Max Resolution (VGA)‡,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,,1920x1200@60Hz,1920x1200@60Hz,1920x1200@60Hz,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
