ARK | Intel® Product Specification Comparison
08/24/2023 09:49:08 PM
 ,Intel® Xeon® Processor E5-2683 v3 ,Intel® Xeon® Processor E5-2695 v3 ,Intel® Xeon® Processor E5-2697 v3 ,Intel® Xeon® Processor E5-2698 v3 ,Intel® Xeon® Processor E5-2699 v3 ,Intel® Xeon® Processor E5-2628L v3 ,Intel® Xeon® Processor E5-2650 v3 ,Intel® Xeon® Processor E5-2660 v3 ,Intel® Xeon® Processor E5-2670 v3 ,Intel® Xeon® Processor E5-2690 v3 ,Intel® Xeon® Processor E5-2609 v3 ,Intel® Xeon® Processor E5-2643 v3 ,Intel® Xeon® Processor E5-2648L v3 ,Intel® Xeon® Processor E5-2650L v3 ,Intel® Xeon® Processor E5-2658 v3 ,Intel® Xeon® Processor E5-2680 v3 ,Intel® Xeon® Processor E5-2687W v3 ,Intel® Xeon® Processor E5-1620 v3 ,Intel® Xeon® Processor E5-1630 v3 ,Intel® Xeon® Processor E5-1650 v3 ,Intel® Xeon® Processor E5-1660 v3 ,Intel® Xeon® Processor E5-1680 v3 ,Intel® Xeon® Processor E5-2603 v3 ,Intel® Xeon® Processor E5-2608L v3 ,Intel® Xeon® Processor E5-2618L v3 ,Intel® Xeon® Processor E5-2620 v3 ,Intel® Xeon® Processor E5-2623 v3 ,Intel® Xeon® Processor E5-2630 v3 ,Intel® Xeon® Processor E5-2630L v3 ,Intel® Xeon® Processor E5-2637 v3 ,Intel® Xeon® Processor E5-2640 v3 ,Intel® Xeon® Processor E5-2667 v3 ,Intel® Xeon® Processor E5-1428L v3 ,Intel® Xeon® Processor E5-2408L v3 ,Intel® Xeon® Processor E5-2418L v3 ,Intel® Xeon® Processor E5-2428L v3 ,Intel® Xeon® Processor E5-2438L v3 ,Intel® Xeon® Processor E5-4610 v3 ,Intel® Xeon® Processor E5-4620 v3 ,Intel® Xeon® Processor E5-4627 v3 ,Intel® Xeon® Processor E5-4640 v3 ,Intel® Xeon® Processor E5-4648 v3 ,Intel® Xeon® Processor E5-4650 v3 ,Intel® Xeon® Processor E5-4655 v3 ,Intel® Xeon® Processor E5-4660 v3 ,Intel® Xeon® Processor E5-4667 v3 ,Intel® Xeon® Processor E5-4669 v3 ,Intel® Xeon® Processor E5-2658A v3 
Cache,35 MB Intel® Smart Cache,35 MB Intel® Smart Cache,35 MB Intel® Smart Cache,40 MB Intel® Smart Cache,45 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,25 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB,10 MB,15 MB,20 MB,25 MB,25 MB,25 MB,25 MB,30 MB,30 MB,30 MB,30 MB,35 MB,40 MB,45 MB,30 MB Intel® Smart Cache
Bus Speed,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,8 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,6.4 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,6.4 GT/s,6.4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,9.6 GT/s,8 GT/s,9.6 GT/s,0 GT/s,6.4 GT/s,6.4 GT/s,8 GT/s,8 GT/s,6.4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s
# of QPI Links,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
TDP,120 W,120 W,145 W,135 W,145 W,75 W,105 W,105 W,120 W,135 W,85 W,135 W,75 W,65 W,105 W,120 W,160 W,140 W,140 W,140 W,140 W,140 W,85 W,52 W,75 W,85 W,105 W,85 W,55 W,135 W,90 W,135 W,65 W,45 W,50 W,55 W,70 W,105 W,105 W,135 W,105 W,105 W,105 W,135 W,120 W,135 W,135 W,105 W

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Launched,Launched,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched
Launch Date,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q3'14,Q1'15,Q1'15,Q1'15,Q1'15,Q1'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q1'15
Servicing Status,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates
End of Servicing Updates Date,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021,Friday |  December 31 |  2021
Embedded Options Available,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64BIT MPU 8064402018800 1.700G 25MB FCL&gt;,64BIT MPU 8064401442401 2.000G 25MB FCL>,64BIT MPU 8064401544203 2.6G 25MB FCLGA>,64BIT MPU 8064401442601 1.900G 30MB FCL>,,64BIT MPU 8064401441008 2.100G 30MB FCL>,64BIT MPU 8064402018600 2.9G 30MB FCLGA>,64BIT MPU 8064402018700 2.100G 35MB FCL>,64BIT MPU 8064401864200 2.000G 40MB FCL>,64BIT MPU 8064401864100 2.100G 45MB FCL>,
Additional Information URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,View now,View now,View now,View now,,View now,View now,View now,View now,View now,

Memory Specifications
Max Memory Size (dependent on memory type),768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,384 GB,384 GB,384 GB,384 GB,384 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB,768 GB
Memory Types,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1333/1600/1866/2133,DDR4 1333/1600/1866/2133,DDR4 1333/1600/1866/2133,DDR4 1333/1600/1866/2133,DDR4 1333/1600/1866/2133,DDR4 1600,DDR4 1600/1866,DDR4 1600/1866,DDR4 1600/1866,DDR4 1600/1866,DDR4 1600/1866,DDR4 1600/1866,DDR4 1600/1866/2133,DDR4 1600/1866,DDR4 1600/1866/2133,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4 1600/1866/2133
Max # of Memory Channels,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
Max Memory Bandwidth,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,59 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,51 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,51 GB/s,59 GB/s,59 GB/s,59 GB/s,59 GB/s,59 GB/s,59 GB/s,68 GB/s,59 GB/s,68 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s,68 GB/s
Physical Address Extensions,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
Scalability,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,1S Only,1S Only,1S Only,1S Only,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,2S,2S,2S,2S,4S,4S,4S,4S,4S,4S,4S,4S,4S,4S,2S
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PCI Express Configurations ‡,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 x8 x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16
Max # of PCI Express Lanes,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,24,24,24,24,24,40,40,40,40,40,40,40,40,40,40,40

Package Specifications
Sockets Supported,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011
Max CPU Configuration,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2
TCASE,82.5°C,82.6°C,76.7°C,87.9°C,76.4°C,87.025°C,78.9°C,79°C,84.5°C,89.9°C,70.9°C,77.3°C,87.025°C,63.6°C,86.95,84.5°C,74.7°C,66.2°C,66.2°C,66.7°C,65.9°C,66.26°C,72.8°C,88.84°C,87.025°C,72.6°C,80.2°C,72.1°C,60.4°C,76.6°C,74.3°C,77.8°C,86,92,93,93,83,77.6°C,77.7°C,86.4°C,77.6°C,87°C,77.6°C,84.4°C,82.5°C,87.6°C,87.6°C,91
Package Size,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45.0 mm,52.5mm x 45.0 mm,52.5mm x 45.0 mm,52.5mm x 45.0 mm,52.5mm x 45.0 mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,52.5mm x 45mm,42.5mmx45mm,42.5mmx45mm,42.5mmx45mm,42.5mmx45mm,42.5mmx45mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 45mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 45mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 51mm,52.5mm x 45mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,No,2.0,2.0,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
