ARK | Intel® Product Specification Comparison
08/24/2023 10:01:08 PM
 ,Intel® Xeon® Processor E5503 ,Intel® Xeon® Processor E5507 ,Intel® Xeon® Processor W3530 ,Intel® Xeon® Processor E6510 ,Intel® Xeon® Processor E6540 ,Intel® Xeon® Processor E7520 ,Intel® Xeon® Processor E7530 ,Intel® Xeon® Processor E7540 ,Intel® Xeon® Processor L7545 ,Intel® Xeon® Processor L7555 ,Intel® Xeon® Processor X6550 ,Intel® Xeon® Processor X7542 ,Intel® Xeon® Processor X7550 ,Intel® Xeon® Processor X7560 ,Intel® Xeon® Processor L3406 ,Intel® Xeon® Processor X5680 ,Intel® Xeon® Processor W3680 ,Intel® Xeon® Processor W3670 ,Intel® Xeon® Processor X5667 ,Intel® Xeon® Processor X5670 ,Intel® Xeon® Processor X5660 ,Intel® Xeon® Processor X5650 ,Intel® Xeon® Processor E5640 ,Intel® Xeon® Processor E5630 ,Intel® Xeon® Processor E5620 ,Intel® Xeon® Processor L5640 ,Intel® Xeon® Processor L5630 ,Intel® Xeon® Processor L5609 ,Intel® Xeon® Processor X5677 ,Intel® Xeon® Processor X3480 ,Intel® Xeon® Processor L5638 ,Intel® Xeon® Processor L5618 ,Intel® Xeon® Processor E5645 
Package Size,42.5mm x 45mm,,42.5mm x 45.0mm,,,,,,,,,,,,37.5mm x 37.5mm,42.5mm x 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mmX45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm X 45mm,42.5mm x 45mm,42.5mm X 45mm,37.5mm x 37.5mm,,,42.5mm X 45mm
Max CPU Configuration,,,1,,,,,,,,,,,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,,,2
Processing Die Size,,,263 mm2,,,,,,,,,,,,81 mm2,,,,,,,,,,,,,,,296 mm2,,,
# of Processing Die Transistors,,,731 million,,,,,,,,,,,,382 million,,,,,,,,,,,,,,,774 million,,,

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,1.0,1.0,1.0
Intel® Hyper-Threading Technology ‡,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,,,,,,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,64-bit
Idle States,Yes,Yes,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
Intel® Demand Based Switching,Yes,Yes,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
Thermal Monitoring Technologies,No,,No,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No
Instruction Set Extensions,,,Intel® SSE4.2,,,,,,,,,,,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,,,Intel® SSE4.2

Security & Reliability
Intel® AES New Instructions,No,,No,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,No,No,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
PCI Express Revision,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,
PCI Express Configurations ‡,,,,,,,,,,,,,,,1x16 |  2x8,,,,,,,,,,,,,,,1x16 |  2x8 |  4x4,,,
Max # of PCI Express Lanes,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,16,,,
