ARK | Intel® Product Specification Comparison
08/24/2023 09:18:20 PM
 ,Intel® Celeron® Processor 1020M ,Intel® Celeron® Processor 1037U ,Intel® Celeron® Processor 1000M ,Intel® Celeron® Processor 1007U ,Intel® Celeron® Processor 1020E ,Intel® Celeron® Processor 1047UE ,Intel® Celeron® Processor 1019Y ,Intel® Celeron® Processor 1017U ,Intel® Celeron® Processor 1005M 
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2
Intel® My WiFi Technology,No,No,No,No,No,No,No,No,No
Idle States,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Fast Memory Access,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4G WiMAX Wireless Technology,,,No,No,,,No,No,No
Intel® Demand Based Switching,,,No,No,,,No,No,No

Security & Reliability
Intel® AES New Instructions,No,No,No,No,No,No,No,No,No
Intel® Trusted Execution Technology ‡,No,No,No,No,No,No,No,No,No
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
Anti-Theft Technology,No,No,No,No,No,No,No,No,No
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,No,No,No,No,No,No,No,No,No
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
