ARK | Intel® Product Specification Comparison
08/24/2023 09:43:54 PM
 ,Intel® Xeon® W-2123 Processor ,Intel® Xeon® W-2133 Processor ,Intel® Xeon® W-2155 Processor ,Intel® Xeon® W-2145 Processor ,Intel® Xeon® W-2125 Processor ,Intel® Xeon® W-2135 Processor ,Intel® Xeon® W-2195 Processor ,Intel® Xeon® W-2175 Processor ,Intel® Xeon® W-3175X Processor ,Intel® Xeon® W-3223 Processor ,Intel® Xeon® W-3265 Processor ,Intel® Xeon® W-3225 Processor ,Intel® Xeon® W-3235 Processor ,Intel® Xeon® W-3265M Processor ,Intel® Xeon® W-3245M Processor ,Intel® Xeon® W-3275 Processor ,Intel® Xeon® W-3245 Processor ,Intel® Xeon® W-3275M Processor ,Intel® Xeon® W-2275 Processor ,Intel® Xeon® W-2295 Processor ,Intel® Xeon® W-2265 Processor ,Intel® Xeon® W-2255 Processor ,Intel® Xeon® W-2223 Processor ,Intel® Xeon® W-2235 Processor ,Intel® Xeon® W-2245 Processor ,Intel® Xeon® W-2225 Processor ,Intel® Xeon® W-1250 Processor ,Intel® Xeon® W-1290P Processor ,Intel® Xeon® W-1290 Processor ,Intel® Xeon® W-1270P Processor ,Intel® Xeon® W-1270 Processor ,Intel® Xeon® W-1250P Processor ,Intel® Xeon® W-1290T Processor ,Intel® Xeon® W-10855M Processor ,Intel® Xeon® W-10885M Processor ,Intel® Xeon® W-1250E Processor ,Intel® Xeon® W-1250TE Processor ,Intel® Xeon® W-1290E Processor ,Intel® Xeon® W-1270E Processor ,Intel® Xeon® W-1270TE Processor ,Intel® Xeon® W-1290TE Processor ,Intel® Xeon® W-1350 Processor ,Intel® Xeon® W-1350P Processor ,Intel® Xeon® W-1370 Processor ,Intel® Xeon® W-1370P Processor ,Intel® Xeon® W-1390 Processor ,Intel® Xeon® W-1390P Processor ,Intel® Xeon® W-1390T Processor ,Intel® Xeon® W-11955M Processor ,Intel® Xeon® W-11855M Processor ,Intel® Xeon® W-3365 Processor ,Intel® Xeon® W-3335 Processor ,Intel® Xeon® W-3345 Processor ,Intel® Xeon® W-3375 Processor ,Intel® Xeon® W-3323 Processor ,Intel® Xeon® W-11865MRE Processor ,Intel® Xeon® W-11865MLE Processor ,Intel® Xeon® W-11155MLE Processor ,Intel® Xeon® W-11555MRE Processor ,Intel® Xeon® W-11555MLE Processor ,Intel® Xeon® W-11155MRE Processor ,Intel® Xeon® w5-2465X Processor ,Intel® Xeon® w7-3465X Processor ,Intel® Xeon® w7-2475X Processor ,Intel® Xeon® w9-3475X Processor ,Intel® Xeon® w5-2455X Processor ,Intel® Xeon® w5-3435X Processor ,Intel® Xeon® w7-3445 Processor ,Intel® Xeon® w7-3455 Processor ,Intel® Xeon® w3-2435 Processor ,Intel® Xeon® w5-2445 Processor ,Intel® Xeon® w5-3425 Processor ,Intel® Xeon® w9-3495X Processor ,Intel® Xeon® w3-2423 Processor ,Intel® Xeon® w3-2425 Processor 
Total Threads,8,12,20,16,8,12,36,28,56,16,48,16,24,48,32,56,32,56,28,36,24,20,8,12,16,8,12,20,20,16,16,12,20,12,16,12,12,20,16,16,20,12,12,16,16,16,16,16,16,12,64,32,48,76,24,16,16,8,12,12,8,32,56,40,72,24,32,40,48,16,20,24,112,12,12
Max Turbo Frequency,3.90 GHz,3.90 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.30 GHz,4.30 GHz,3.80 GHz,4.00 GHz,4.40 GHz,4.30 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.50 GHz,3.90 GHz,4.60 GHz,4.50 GHz,4.60 GHz,4.70 GHz,5.30 GHz,5.20 GHz,5.10 GHz,5.00 GHz,4.80 GHz,4.70 GHz,5.10 GHz,5.30 GHz,4.70 GHz,3.80 GHz,4.80 GHz,4.80 GHz,4.40 GHz,4.50 GHz,5.00 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,5.30 GHz,4.90 GHz,5.00 GHz,4.90 GHz,4.00 GHz,4.00 GHz,4.00 GHz,4.00 GHz,3.90 GHz,4.70 GHz,4.50 GHz,3.10 GHz,4.50 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.80 GHz,4.20 GHz,4.40 GHz
Processor Base Frequency,3.60 GHz,3.60 GHz,3.30 GHz,3.70 GHz,4.00 GHz,3.70 GHz,2.30 GHz,2.50 GHz,3.10 GHz,3.50 GHz,2.70 GHz,3.70 GHz,3.30 GHz,2.70 GHz,3.20 GHz,2.50 GHz,3.20 GHz,2.50 GHz,3.30 GHz,3.00 GHz,3.50 GHz,3.70 GHz,3.60 GHz,3.80 GHz,3.90 GHz,4.10 GHz,3.30 GHz,3.70 GHz,3.20 GHz,3.80 GHz,3.40 GHz,4.10 GHz,1.90 GHz,2.80 GHz,2.40 GHz,3.50 GHz,2.40 GHz,3.50 GHz,3.40 GHz,2.00 GHz,1.80 GHz,3.30 GHz,4.00 GHz,2.90 GHz,3.60 GHz,2.80 GHz,3.50 GHz,1.50 GHz,,,2.70 GHz,3.40 GHz,3.00 GHz,2.50 GHz,3.50 GHz,,1.50 GHz,1.80 GHz,,1.90 GHz,,3.10 GHz,2.50 GHz,2.60 GHz,2.20 GHz,3.20 GHz,3.10 GHz,2.60 GHz,2.50 GHz,3.10 GHz,3.10 GHz,3.20 GHz,1.90 GHz,2.10 GHz,3.00 GHz
Cache,8.25 MB,8.25 MB,13.75 MB,11 MB,8.25 MB,8.25 MB,24.75 MB,19 MB,38.5 MB,16.5 MB,33 MB,16.5 MB,19.25 MB,33 MB,22 MB,38.5 MB,22 MB,38.5 MB,19.25 MB,24.75 MB,19.25 MB,19.25 MB,8.25 MB,8.25 MB,16.5 MB,8.25 MB,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,48 MB,24 MB,36 MB,57 MB,21 MB,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,33.75 MB Intel® Smart Cache,75 MB Intel® Smart Cache,37.5 MB Intel® Smart Cache,82.5 MB Intel® Smart Cache,30 MB Intel® Smart Cache,45 MB Intel® Smart Cache,52.5 MB Intel® Smart Cache,67.5 MB Intel® Smart Cache,22.5 MB Intel® Smart Cache,26.25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,105 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache
Max # of UPI Links,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus Speed,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,,,,,,,,,,,,,,,,
# of QPI Links,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDP,120 W,140 W,140 W,140 W,120 W,140 W,140 W,140 W,255 W,160 W,205 W,160 W,180 W,205 W,205 W,205 W,205 W,205 W,165 W,165 W,165 W,165 W,120 W,130 W,155 W,105 W,80 W,125 W,80 W,125 W,80 W,125 W,35 W,45 W,45 W,80 W,35 W,95 W,80 W,35 W,35 W,80 W,125 W,80 W,125 W,80 W,125 W,35 W,,,270 W,250 W,250 W,270 W,220 W,,25 W,25 W,,25 W,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,4.20 GHz,4.60 GHz,4.40 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.70 GHz,,,4.70 GHz,,,5.20 GHz,5.10 GHz,5.10 GHz,5.00 GHz,,4.70 GHz,4.90 GHz,5.10 GHz,,,4.80 GHz,4.80 GHz,4.40 GHz,4.50 GHz,,,5.10 GHz,5.20 GHz,5.10 GHz,5.20 GHz,4.90 GHz,5.00 GHz,4.90 GHz,,,,,,,,,,,,4.70 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.80 GHz,4.20 GHz,4.40 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,,,,,,,,,,4.70 GHz,5.10 GHz,5.00 GHz,5.00 GHz,4.90 GHz,4.80 GHz,4.60 GHz,,,4.70 GHz,3.80 GHz,,,,,5.00 GHz,5.10 GHz,5.00 GHz,5.10 GHz,5.00 GHz,5.10 GHz,4.80 GHz,,,,,,,,,,,,,,4.50 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.40 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.30 GHz,4.40 GHz,4.40 GHz,4.60 GHz,4.00 GHz,4.00 GHz
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30 GHz,5.20 GHz,,,,,5.10 GHz,5.30 GHz,,,,,,,,,,,5.20 GHz,5.30 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configurable TDP-down Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30 GHz,,3.50 GHz,,3.80 GHz,,,,,,,,,,,3.00 GHz,,3.10 GHz,,3.00 GHz,1.00 GHz,2.10 GHz,2.60 GHz,,,,,,2.10 GHz,,,2.10 GHz,,1.90 GHz,,,,,,,,,,,,,,
Configurable TDP-down,,,,,,,,,,,,,,,,,,,,,,,,,,,,95 W,,95 W,,95 W,,35 W,35 W,,,,,,,,95 W,,95 W,,95 W,25 W,35 W,35 W,,,,,,35 W,,,35 W,,35 W,,,,,,,,,,,,,,
Configurable TDP-up Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60 GHz,3.20 GHz,,,,,,2.60 GHz,,,2.60 GHz,,2.40 GHz,,,,,,,,,,,,,,
Configurable TDP-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 W,45 W,,,,,,45 W,,,45 W,,45 W,,,,,,,,,,,,,,
# of Performance-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,20,36,12,16,20,24,8,10,12,56,6,6
# of Efficiency-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel® UPI Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s
Processor Base Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 W,300 W,225 W,300 W,200 W,270 W,270 W,270 W,165 W,175 W,270 W,350 W,120 W,130 W
Maximum Turbo Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 W,360 W,270 W,360 W,240 W,324 W,324 W,324 W,198 W,210 W,324 W,420 W,144 W,156 W

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q4'18,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q4'19,Q4'19,Q4'19,Q4'19,Q4'19,Q4'19,Q4'19,Q4'19,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23
Servicing Status,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of Servicing Updates Date,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Additional Information,View now,View now,View now,View now,View now,View now,View now,View now,View now,,,,,,,,,,View now,View now,View now,View now,View now,View now,View now,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Included Items,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,,,,,,,,,,,,,This product is available in tray and box.,This product is available in tray and box.,,,This product is available in tray and box.  For boxed product |  a thermal solution is included,This product is available in tray only.,This product is available in tray and box.  For boxed product |  a thermal solution is included,This product is available in tray and box.  For boxed product |  a thermal solution is not included,This product is available in tray and box.  For boxed product |  a thermal solution is included,This product is available in tray and box.  For boxed product |  a thermal solution is not included,This product is available in tray only.,,,,,,,,,This product is available in tray and box. For boxed product |  a thermal solution is included.,,This product is available in tray and box. For boxed product |  a thermal solution is included.,,This product is available in tray and box. For boxed product |  a thermal solution is included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Brief,,,,,,,,,,View now,View now,View now,View now,View now,View now,View now,View now,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Safety (FuSa) Documentation Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,1 TB,1 TB,1 TB,1 TB,2 TB,2 TB,1 TB,1 TB,2 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,4 TB,4 TB,4 TB,4 TB,4 TB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,2 TB,4 TB,2 TB,4 TB,2 TB,4 TB,4 TB,4 TB,2 TB,2 TB,4 TB,4 TB,2 TB,2 TB
