ARK | Intel® Product Specification Comparison
08/24/2023 09:40:17 PM
 ,Intel® Xeon® Gold 5318H Processor ,Intel® Xeon® Platinum 8380H Processor ,Intel® Xeon® Gold 6328H Processor ,Intel® Xeon® Platinum 8360H Processor ,Intel® Xeon® Gold 5320H Processor ,Intel® Xeon® Gold 6330H Processor ,Intel® Xeon® Platinum 8353H Processor ,Intel® Xeon® Platinum 8354H Processor ,Intel® Xeon® Gold 6348H Processor ,Intel® Xeon® Platinum 8376H Processor ,Intel® Xeon® Platinum 8356H Processor ,Intel® Xeon® Platinum 8376HL Processor ,Intel® Xeon® Platinum 8380HL Processor ,Intel® Xeon® Gold 6328HL Processor ,Intel® Xeon® Platinum 8360HL Processor ,Intel® Xeon® Platinum 8358 Processor ,Intel® Xeon® Platinum 8352Y Processor ,Intel® Xeon® Gold 6338 Processor ,Intel® Xeon® Gold 6330N Processor ,Intel® Xeon® Platinum 8380 Processor ,Intel® Xeon® Platinum 8351N Processor ,Intel® Xeon® Platinum 8368Q Processor ,Intel® Xeon® Platinum 8352S Processor ,Intel® Xeon® Platinum 8358P Processor ,Intel® Xeon® Platinum 8352V Processor ,Intel® Xeon® Platinum 8368 Processor ,Intel® Xeon® Gold 6348 Processor ,Intel® Xeon® Gold 6346 Processor ,Intel® Xeon® Gold 6330 Processor ,Intel® Xeon® Platinum 8360Y Processor ,Intel® Xeon® Gold 6354 Processor ,Intel® Xeon® Gold 6314U Processor ,Intel® Xeon® Gold 6338N Processor ,Intel® Xeon® Silver 4314 Processor ,Intel® Xeon® Silver 4316 Processor ,Intel® Xeon® Gold 5318Y Processor ,Intel® Xeon® Gold 5317 Processor ,Intel® Xeon® Gold 6334 Processor ,Intel® Xeon® Gold 6326 Processor ,Intel® Xeon® Silver 4309Y Processor ,Intel® Xeon® Gold 6342 Processor ,Intel® Xeon® Silver 4310 Processor ,Intel® Xeon® Gold 6338T Processor ,Intel® Xeon® Gold 5318S Processor ,Intel® Xeon® Gold 6336Y Processor ,Intel® Xeon® Gold 5318N Processor ,Intel® Xeon® Gold 6312U Processor ,Intel® Xeon® Silver 4310T Processor ,Intel® Xeon® Gold 5320T Processor ,Intel® Xeon® Gold 5320 Processor ,Intel® Xeon® Gold 5315Y Processor ,Intel® Xeon® Platinum 8352M Processor ,Intel® Xeon® Platinum 8362 Processor 
Total Threads,36,56,32,48,40,48,36,36,48,56,16,56,56,32,48,64,64,64,56,80,72,76,64,64,72,76,56,32,56,72,36,64,64,32,40,48,24,16,32,16,48,24,48,48,48,48,48,20,40,52,16,64,64
Max Turbo Frequency,3.80 GHz,4.30 GHz,4.30 GHz,4.20 GHz,4.20 GHz,3.70 GHz,3.80 GHz,4.30 GHz,4.20 GHz,4.30 GHz,4.40 GHz,4.30 GHz,4.30 GHz,4.30 GHz,4.20 GHz,3.40 GHz,3.40 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.50 GHz,3.70 GHz,3.40 GHz,3.40 GHz,3.50 GHz,3.40 GHz,3.50 GHz,3.60 GHz,3.10 GHz,3.50 GHz,3.60 GHz,3.40 GHz,3.50 GHz,3.40 GHz,3.40 GHz,3.40 GHz,3.60 GHz,3.70 GHz,3.50 GHz,3.60 GHz,3.50 GHz,3.30 GHz,3.40 GHz,3.40 GHz,3.60 GHz,3.40 GHz,3.60 GHz,3.40 GHz,3.50 GHz,3.40 GHz,3.60 GHz,3.50 GHz,3.60 GHz
Processor Base Frequency,2.50 GHz,2.90 GHz,2.80 GHz,3.00 GHz,2.40 GHz,2.00 GHz,2.50 GHz,3.10 GHz,2.30 GHz,2.60 GHz,3.90 GHz,2.60 GHz,2.90 GHz,2.80 GHz,3.00 GHz,2.60 GHz,2.20 GHz,2.00 GHz,2.20 GHz,2.30 GHz,2.40 GHz,2.60 GHz,2.20 GHz,2.60 GHz,2.10 GHz,2.40 GHz,2.60 GHz,3.10 GHz,2.00 GHz,2.40 GHz,3.00 GHz,2.30 GHz,2.20 GHz,2.40 GHz,2.30 GHz,2.10 GHz,3.00 GHz,3.60 GHz,2.90 GHz,2.80 GHz,2.80 GHz,2.10 GHz,2.10 GHz,2.10 GHz,2.40 GHz,2.10 GHz,2.40 GHz,2.30 GHz,2.30 GHz,2.20 GHz,3.20 GHz,2.30 GHz,2.80 GHz
Cache,24.75 MB,38.5 MB,22 MB,33 MB,27.5 MB,33 MB,24.75 MB,24.75 MB,33 MB,38.5 MB,35.75 MB,38.5 MB,38.5 MB,22 MB,33 MB,48 MB,48 MB,48 MB,42 MB,60 MB,54 MB,57 MB,48 MB,48 MB,54 MB,57 MB,42 MB,36 MB,42 MB,54 MB,39 MB,48 MB,48 MB,24 MB,30 MB,36 MB,18 MB,18 MB,24 MB,12 MB,36 MB,18 MB,36 MB,36 MB,36 MB,36 MB,36 MB,15 MB,30 MB,39 MB,12 MB,48 MB,48 MB
Max # of UPI Links,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,3,2,2,3,3,3,3,2,3,2,3,3,3,3,,2,3,3,3,3,3
TDP,150 W,250 W,165 W,225 W,150 W,150 W,150 W,205 W,165 W,205 W,190 W,205 W,250 W,165 W,225 W,250 W,205 W,205 W,165 W,270 W,225 W,270 W,205 W,240 W,195 W,270 W,235 W,205 W,205 W,250 W,205 W,205 W,185 W,135 W,150 W,165 W,150 W,165 W,185 W,105 W,230 W,120 W,165 W,165 W,185 W,150 W,185 W,105 W,150 W,185 W,140 W,185 W,265 W
Intel® UPI Speed,,,,,,,,,,,,,,,,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,,11.2 GT/s,10.4 GT/s,10.4 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,10.4 GT/s,11.2 GT/s,10.4 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,,10.4 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s,11.2 GT/s
Intel SpeedStep® Max Frequency,,,,,,,,,,,,,,,,,3.40 GHz,,,,,,3.40 GHz,,3.50 GHz,,,,,,,,,,,3.40 GHz,,,,3.60 GHz,,,,3.40 GHz,3.60 GHz,3.40 GHz,,,,,3.60 GHz,3.50 GHz,
# of Performance-cores,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Efficiency-cores,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80 GHz,,,,,,,,,,,,,
E-core Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8 MHz,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q2'20,Q2'20,Q2'20,Q3'20,Q2'20,Q3'20,Q2'20,Q2'20,Q2'20,Q2'20,Q3'20,Q2'20,Q2'20,Q2'20,Q3'20,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21,Q2'21
Servicing Status,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No

Memory Specifications
Max Memory Size (dependent on memory type),1.12 TB,1.12 TB,1.12 TB,1.12 TB,1.12 TB,1.12 TB,1.12 TB,1.12 TB,1.12 TB,1.12 TB,1.12 TB,4.5 TB,4.5 TB,4.5 TB,4.5 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB,6 TB
Memory Types,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4 RDIMM,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-2667,DDR4-3200,DDR4-2933,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-2933,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-2933,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-2667,DDR4-2667,DDR4-2667,DDR4-2933,DDR4-2933,DDR4-3200,DDR4-3200,DDR4-2667,DDR4-3200,DDR4-2667,DDR4-3200,DDR4-2933,DDR4-3200,DDR4-2667,DDR4-3200,DDR4-2667,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-3200,DDR4-3200
Maximum Memory Speed,2667 MHz,3200 MHz,2933 MHz,3200 MHz,2667 MHz,2933 MHz,3200 MHz,3200 MHz,2933 MHz,3200 MHz,2933 MHz,3200 MHz,3200 MHz,2933 MHz,3200 MHz,3200 MHz,3200 MHz,3200 MHz,2667 MHz,3200 MHz,2933 MHz,3200 MHz,3200 MHz,3200 MHz,2933 MHz,3200 MHz,3200 MHz,3200 MHz,2933 MHz,3200 MHz,3200 MHz,3200 MHz,2667 MHz,2667 MHz,2667 MHz,2933 MHz,2933 MHz,3200 MHz,3200 MHz,2667 MHz,3200 MHz,2667 MHz,3200 MHz,2933 MHz,3200 MHz,2667 MHz,3200 MHz,2667 MHz,2933 MHz,2933 MHz,2933 MHz,3200 MHz,3200 MHz
Max # of Memory Channels,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Intel® Optane™ Persistent Memory Supported,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
Scalability,4S,S8S,4S,S8S,4S,4S,S8S,S8S,4S,S8S,S8S,S8S,S8S,4S,S8S,2S,2S,2S,2S,2S,1S Only,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,2S,2S,2S,2S,2S,2S
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Max # of PCI Express Lanes,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64

Package Specifications
Sockets Supported,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189
Package Size,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5x56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm
TCASE,,,,,,,,,,,,,,,,81°C,81°C,81°C,86°C,83°C,76°C,58°C,81°C,80°C,78°C,84°C,80°C,78°C,86°C,80°C,77°C,81°C,83°C,86°C,84°C,87°C,84°C,69°C,78°C,76°C,81°C,82°C,87°C,87°C,80°C,83°C,80°C,88°C,86°C,79°C,81°C,77°C,82°C

Advanced Technologies
Intel® Deep Learning Boost (Intel® DL Boost),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Resource Director Technology (Intel® RDT),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Optane™ Memory Supported ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
