Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
Embedded Options Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Memory Specifications
Physical Address Extensions,32-bit,,,32-bit,32-bit,32-bit,,32-bit,,,,,,,,,,,,40-bit,40-bit,40-bit,40-bit,36-bit,36-bit,,,,,,,,,40-bit,,,40-bit
ECC Memory Supported   ‡,No,,,No,No,No,,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
Max Memory Size (dependent on memory type),,,,,,,,,,,,,,,,,,,,144 GB,144 GB,144 GB,144 GB,32 GB,32 GB,,,,,,,,,288 GB,,,288 GB
Memory Types,,,,,,,,,,,,,,,,,,,,DDR3 800/1066,DDR3 800,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,,,,,,,,DDR3 800/1066,,,DDR3 800/1066/1333
Max # of Memory Channels,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,,,3
Max Memory Bandwidth,,,,,,,,,,,,,,,,,,,,25.6 GB/s,19.2 GB/s,25.6 GB/s,25.6 GB/s,21 GB/s,21 GB/s,,,,,,,,,25.6 GB/s,,,32 GB/s

Package Specifications
Sockets Supported,PPGA604,,LGA771,PPGA478,PPGA478,LGA771,PPGA604,LGA771 | PLGA771,LGA771 | PLGA771,,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,LGA771,PLGA771,LGA771,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1156 | LGA1156,FCLGA1156 | LGA1156,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366,FCLGA1366 | LGA1366
TCASE,86°C,65°C,65°C,100°C,100°C,58°C,72°C,66°C,66°C,100°C,58°C,70.8°C,67°C,57°C,72°C,71°C,66°C,72.2°C,66°C,76°C,76°C,85°C,85°C,72.7°C,72.7°C,77.6°C,74.6°C,70.0°C - 85.0°C,74.6°C,77.6°C,77.5°C - 92.5°C,79.5°C - 94.5°C,79.5°C - 94.5°C,77.6°C,85°C,87°C,76.2°C
Package Size,42.5mm x 42.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,42.5mm x 42.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,37.5mm x 37.5mm,37.5mm x 37.5mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,42.5mm x 45mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,,,,,,,42.5mm X 45mm,,,42.5mm X 45mm
Processing Die Size,112 mm2,143 mm2,143 mm2,90 mm2,90 mm2,143 mm2,112 mm2,286 mm2,286 mm2,90 mm2,143 mm2,143 mm2,214 mm2,214 mm2,214 mm2,107 mm2,107 mm2,286 mm2,107 mm2,263 mm2,,263 mm2,263 mm2,296 mm2,296 mm2,,,,,,,,,,,,
# of Processing Die Transistors,125 million,291 million,291 million,151 million,151 million,291 million,125 million,582 million,582 million,151 million,291 million,291 million,820 million,820 million,820 million,410 million,410 million,582 million,410 million,731 million,,731 million,731 million,774 million,774 million,,,,,,,,,,,,
Max CPU Configuration,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,,,2

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.0,No,1.0,1.0,1.0,1.0,1.0,No,1.0,No,No,1.0,1.0,No,1.0,1.0,1.0,1.0
Intel® Hyper-Threading Technology ‡,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
Intel® 64 ‡,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,64-bit
Idle States,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
Intel® Demand Based Switching,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,No,No,Yes,Yes,No,,No,No,Yes,No,No,No,No,No,,,No,,,,,,,,,,,,,,,,,,,
Thermal Monitoring Technologies,,Yes,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,,,No,No,,,,,,,,,No,,,No
Instruction Set Extensions,,,,,,,,,,,,,,,,,,,,,,,,Intel® SSE4.2,Intel® SSE4.2,,,,,,,,,Intel® SSE4.2,,,Intel® SSE4.2

Security & Reliability
Intel® Trusted Execution Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
Intel® Virtualization Technology (VT-x) ‡,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® AES New Instructions,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,Yes,Yes,Yes,Yes

CPU Specifications
# of Cores,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,4,4,2,4,4,4,4,2,1,4,6,4,6
Total Threads,,,,,,,,,,,,,,,,,,,,8,4,4,8,4,8,8,2,8,4,4,8,4,1,8,12,8,12
Max Turbo Frequency,,,,,,,,,,,,,,,,,,,,2.80 GHz,,2.40 GHz,2.40 GHz,2.80 GHz,3.20 GHz,2.93 GHz,,2.53 GHz,,,2.13 GHz,1.87 GHz,,2.66 GHz,2.40 GHz,2.26 GHz,2.67 GHz
Processor Base Frequency,,,,,,,,,,,,,,,,,,,,2.53 GHz,2.00 GHz,2.00 GHz,2.13 GHz,2.40 GHz,2.66 GHz,2.53 GHz,2.27 GHz,2.13 GHz,2.13 GHz,2.00 GHz,1.73 GHz,1.73 GHz,1.73 GHz,2.40 GHz,2.00 GHz,1.87 GHz,2.40 GHz
Cache,,,,,,,,,,,,,,,,,,,,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB L3 Cache,4 MB L3 Cache,8 MB L3 Cache,8 MB L3 Cache,8 MB L3 Cache,8 MB L3 Cache,4 MB L3 Cache,2 MB L3 Cache,12 MB Intel® Smart Cache,12 MB,12 MB,12 MB Intel® Smart Cache
Bus Speed,,,,,,,,,,,,,,,,,,,,5.86 GT/s,4.8 GT/s,5.86 GT/s,5.86 GT/s,2.5 GT/s,2.5 GT/s,5.87 GT/s,5.87 GT/s,4.8 GT/s,2.5 GT/s,4.8 GT/s,4.8 GT/s,2.5 GT/s,2.5 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s
# of QPI Links,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,1,1,1,,1,1,,,2,2,,2
TDP,,,,,,,,,,,,,,,,,,,,80 W,80 W,38 W,60 W,95 W,95 W,85 W,65 W,60 W,65 W,85 W,48 W,35 W,23 W,80 W,60 W,40 W,80 W

Expansion Options
PCI Express Revision,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,
PCI Express Configurations ‡,,,,,,,,,,,,,,,,,,,,,,,,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,,,,,,,,,,,
Max # of PCI Express Lanes,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,
