ARK | Intel® Product Specification Comparison
08/24/2023 09:50:22 PM
 ,Intel® Xeon® Processor E5-2648L ,Intel® Xeon® Processor E5-2658 ,Intel® Xeon® Processor E5-2687W ,Intel® Xeon® Processor E5-2680 ,Intel® Xeon® Processor E5-2660 ,Intel® Xeon® Processor E5-2650L ,Intel® Xeon® Processor E5-2630L ,Intel® Xeon® Processor E5-2643 ,Intel® Xeon® Processor E5-2609 ,Intel® Xeon® Processor E5-2667 ,Intel® Xeon® Processor E5-2650 ,Intel® Xeon® Processor E5-2640 ,Intel® Xeon® Processor E5-2603 ,Intel® Xeon® Processor E5-2630 ,Intel® Xeon® Processor E5-2620 ,Intel® Xeon® Processor E5-2670 ,Intel® Xeon® Processor E5-2690 ,Intel® Xeon® Processor E5-2665 ,Intel® Xeon® Processor E5-2637 ,Intel® Xeon® Processor E5-1650 ,Intel® Xeon® Processor E5-4610 ,Intel® Xeon® Processor E5-4640 ,Intel® Xeon® Processor E5-4607 ,Intel® Xeon® Processor E5-4650L ,Intel® Xeon® Processor E5-4620 ,Intel® Xeon® Processor E5-4617 ,Intel® Xeon® Processor E5-4603 ,Intel® Xeon® Processor E5-2450L ,Intel® Xeon® Processor E5-2450 ,Intel® Xeon® Processor E5-2440 ,Intel® Xeon® Processor E5-2430L ,Intel® Xeon® Processor E5-2407 ,Intel® Xeon® Processor E5-2403 ,Intel® Xeon® Processor E5-2430 ,Intel® Xeon® Processor E5-2420 ,Intel® Xeon® Processor E5-1660 ,Intel® Xeon® Processor E5-1620 ,Intel® Xeon® Processor E5-4650 ,Intel® Xeon® Processor E5-2470 ,Intel® Xeon® Processor E5-1428L ,Intel® Xeon® Processor E5-2448L ,Intel® Xeon® Processor E5-2428L ,Intel® Xeon® Processor E5-2418L 
Total Threads,16,16,16,16,16,16,12,8,4,12,16,12,4,12,12,16,16,16,4,12,12,16,12,16,16,6,8,16,16,12,12,4,4,12,12,12,8,16,16,12,16,12,8
Max Turbo Frequency,2.10 GHz,2.40 GHz,3.80 GHz,3.50 GHz,3.00 GHz,2.30 GHz,2.50 GHz,3.50 GHz,,3.50 GHz,2.80 GHz,3.00 GHz,,2.80 GHz,2.50 GHz,3.30 GHz,3.80 GHz,3.10 GHz,3.50 GHz,3.80 GHz,2.90 GHz,2.80 GHz,,3.10 GHz,2.60 GHz,3.40 GHz,,2.30 GHz,2.90 GHz,2.90 GHz,2.50 GHz,,,2.70 GHz,2.40 GHz,3.90 GHz,3.80 GHz,3.30 GHz,3.10 GHz,,2.10 GHz,2.00 GHz,2.10 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,2.10 GHz,2.40 GHz,3.80 GHz,3.50 GHz,3.00 GHz,2.30 GHz,2.50 GHz,3.50 GHz,,3.50 GHz,2.80 GHz,,,,,3.30 GHz,3.80 GHz,3.10 GHz,3.50 GHz,3.80 GHz,2.90 GHz,2.80 GHz,,3.10 GHz,2.60 GHz,3.40 GHz,,2.30 GHz,2.90 GHz,,2.50 GHz,,,,,3.90 GHz,3.80 GHz,3.30 GHz,3.10 GHz,,2.10 GHz,2.00 GHz,2.10 GHz
Processor Base Frequency,1.80 GHz,2.10 GHz,3.10 GHz,2.70 GHz,2.20 GHz,1.80 GHz,2.00 GHz,3.30 GHz,2.40 GHz,2.90 GHz,2.00 GHz,2.50 GHz,1.80 GHz,2.30 GHz,2.00 GHz,2.60 GHz,2.90 GHz,2.40 GHz,3.00 GHz,3.20 GHz,2.40 GHz,2.40 GHz,2.20 GHz,2.60 GHz,2.20 GHz,2.90 GHz,2.00 GHz,1.80 GHz,2.10 GHz,2.40 GHz,2.00 GHz,2.20 GHz,1.80 GHz,2.20 GHz,1.90 GHz,3.30 GHz,3.60 GHz,2.70 GHz,2.30 GHz,1.80 GHz,1.80 GHz,1.80 GHz,2.00 GHz
Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,5 MB Intel® Smart Cache,12 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB L3 Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache
Bus Speed,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,7.2 GT/s,8 GT/s,6.4 GT/s,8 GT/s,8 GT/s,7.2 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,0,7.2 GT/s,8 GT/s,6.4 GT/s,8 GT/s,7.2 GT/s,7.2 GT/s,6.4 GT/s,8 GT/s,8 GT/s,7.2 GT/s,7.2 GT/s,6.4 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,0,0,8 GT/s,8 GT/s,0 GT/s,8 GT/s,7.2 GT/s,6.4 GT/s
# of QPI Links,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1
TDP,70 W,95 W,150 W,130 W,95 W,70 W,60 W,130 W,80 W,130 W,95 W,95 W,80 W,95 W,95 W,115 W,135 W,115 W,80 W,130 W,95 W,95 W,95 W,115 W,95 W,130 W,95 W,70 W,95 W,95 W,60 W,80 W,80 W,95 W,95 W,130 W,130 W,130 W,95 W,60 W,70 W,60 W,50 W
Supported FSBs,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q1'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q1'12,Q1'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12,Q2'12
Expected Discontinuance,Q1'19,Q1'19,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'15,Q2'19,Q2'19,Q2'19
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
End of Servicing Updates Date,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020
Embedded Options Available,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Supply Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discontinued,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),384 GB,384 GB,256 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,256 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,384 GB,256 GB,375 GB,384 GB,384 GB,,384 GB,384 GB,384 GB
Memory Types,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333/1600,DDR3 800/1066/1333,DDR3 800/1066/1333
Max # of Memory Channels,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Max Memory Bandwidth,,51.2 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,42.6 GB/s,51.2 GB/s,34.1 GB/s,51.2 GB/s,51.2 GB/s,42.6 GB/s,34.1 GB/s,42.6 GB/s,42.6 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,42.6 GB/s,51.2 GB/s,34.1 GB/s,51.2 GB/s,42.6 GB/s,51.2 GB/s,34.1 GB/s,38.4 GB/s,38.4 GB/s,32 GB/s,32 GB/s,25 GB/s,25 GB/s,32 GB/s,32 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,38.4 GB/s,32 GB/s,,,

Expansion Options
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Gen 3.0,Gen 3.0,Gen 3.0
PCI Express Configurations ‡,Gen 3.0,Gen 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3.0,Gen 3.0,Gen 3.0
Max # of PCI Express Lanes,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,24,24,24,24,24,24,24,24,40,40,40,24,24,24,24,24
Scalability,,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,,4S Only,4S Only,4S Only,4S Only,4S Only,4S Only,4S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,2S Only,,,4S Only,2S Only,1S Only,,,

Package Specifications
Sockets Supported,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356,FCLGA1356
Max CPU Configuration,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,4,2,1,2,2,2
TCASE,,88°C,67°C,85°C,73 °C,72.0°C,69.8°C,73°C,70.0°C,85.0°C,77.4°C,73 °C,70.0°C,77.4°C,77.4°C,80.0°C,72.0 °C,81.8°C,70.0°C,64.0°C,,,,,,,,,,,,,,,,64°C,64.0 °C,,78,,91°C,89°C,91°C
Package Size,,,52.5mm x 45.0 mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0 mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0 mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,45mm x 42.5mm,52.5mm x 45.0 mm,52.5mm x 45.0 mm,52.5mm x 45.0mm,45mm x 42.5 mm,45mm x 42.5mm,,LGA1356,

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,2.0,2.0,1.0,No,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,2.0,2.0,2.0,No,2.0,2.0,1.0,2.0,No,No,1.0,1.0,2.0,2.0,2.0,2.0,No,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® Identity Protection Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Instruction Set Extensions,,,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,Intel® AVX,,,
Idle States,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
Intel® Demand Based Switching,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
Thermal Monitoring Technologies,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
